順位,コード,銘柄名,開始価格(2026/05/20),終了価格(2026/05/21),上昇率(%)
1,9984,ソフトバンクグループ,5039,6039,19.85
2,6981,村田製作所,6164,6727,9.13
3,6723,ルネサスエレクトロニクス,3500,3785,8.14
4,6146,ディスコ,61340,65650,7.03
5,6920,レーザーテック,35650,38060,6.76
6,6762,ＴＤＫ,2943,3141,6.73
7,6752,パナソニック ホールディングス,3207,3421,6.67
8,8035,東京エレクトロン,46100,48800,5.86
9,6503,三菱電機,5747,6069,5.6
10,6861,キーエンス,72910,76960,5.55
11,5803,フジクラ,4295,4501,4.8
12,6954,ファナック,7322,7667,4.71
13,8411,みずほフィナンシャルグループ,6982,7301,4.57
14,8308,りそなホールディングス,2028,2120,4.51
15,6501,日立製作所,4908,5123,4.38
16,6857,アドバンテスト,25625,26745,4.37
17,7182,ゆうちょ銀行,3075,3193,3.84
18,8802,三菱地所,3966,4110,3.63
19,7936,アシックス,4370,4520,3.43
20,8604,野村ホールディングス,1250,1290,3.2
21,8591,オリックス,6052,6241,3.12
22,7267,本田技研工業,1343,1384,3.05
23,8316,三井住友フィナンシャルグループ,5882,6031,2.53
24,4578,大塚ホールディングス,11405,11690,2.5
25,9202,ＡＮＡホールディングス,2717,2785,2.5
26,8697,日本取引所グループ,1834,1877,2.34
27,7270,ＳＵＢＡＲＵ,2437,2493,2.3
28,4568,第一三共,2606,2664,2.26
29,2802,味の素,5068,5176,2.13
30,3407,旭化成,1674,1709,2.12
31,5802,住友電気工業,10525,10730,1.95
32,4901,富士フイルムホールディングス,3143,3196,1.69
33,8053,住友商事,7011,7120,1.55
34,8830,住友不動産,3748,3806,1.55
35,7269,スズキ,1753,1780,1.51
36,6326,クボタ,2662,2702,1.48
37,2503,キリンホールディングス,2736,2771,1.3
38,7201,日産自動車,357,361,1.23
39,7203,トヨタ自動車,2942,2978,1.22
40,8306,三菱ＵＦＪフィナンシャル・グループ,3030,3067,1.22
41,6178,日本郵政,2110,2134,1.14
42,9735,セコム,6358,6430,1.13
43,8309,三井住友トラスト・ホールディングス,5643,5703,1.06
44,5401,日本製鉄,541,546,0.98
45,8801,三井不動産,1508,1520,0.8
46,6902,デンソー,1836,1850,0.79
47,8750,第一生命ホールディングス,1656,1669,0.79
48,7309,シマノ,16890,17020,0.77
49,8001,伊藤忠商事,1935,1949,0.72
50,8015,豊田通商,6763,6811,0.71
51,6971,京セラ,2921,2940,0.65
52,6367,ダイキン工業,23605,23675,0.3
53,7741,ＨＯＹＡ,26500,26580,0.3
54,4188,三菱ケミカルグループ,1001,1004,0.25
55,4452,花王,5919,5934,0.25
56,5108,ブリヂストン,3319,3327,0.24
57,4063,信越化学工業,6845,6857,0.18
58,6201,豊田自動織機,20490,20500,0.05
59,6273,ＳＭＣ,64820,64770,-0.08
60,6702,富士通,3263,3259,-0.12
61,9021,西日本旅客鉄道,2727,2722,-0.18
62,1928,積水ハウス,3338,3326,-0.36
63,6701,日本電気,4140,4125,-0.36
64,6301,小松製作所,6190,6164,-0.42
65,9022,東海旅客鉄道,3550,3535,-0.42
66,4543,テルモ,2342,2332,-0.45
67,5020,ＥＮＥＯＳホールディングス,1314,1308,-0.46
68,8058,三菱商事,5436,5411,-0.46
69,1925,大和ハウス工業,4485,4453,-0.71
70,4503,アステラス製薬,2295,2278,-0.74
71,4519,中外製薬,7899,7836,-0.8
72,9434,ソフトバンク,226,224,-0.84
73,8002,丸紅,5374,5325,-0.91
74,6098,リクルートホールディングス,9653,9564,-0.92
75,7751,キヤノン,4171,4130,-0.98
76,8729,ソニーフィナンシャルグループ,145,144,-1.03
77,4307,野村総合研究所,4735,4681,-1.14
78,8113,ユニ・チャーム,948,938,-1.16
79,2502,アサヒグループホールディングス,1602,1581,-1.31
80,7733,オリンパス,1872,1848,-1.31
81,4502,武田薬品工業,5255,5180,-1.43
82,6758,ソニーグループ,3606,3554,-1.44
83,8267,イオン,1518,1496,-1.45
84,9104,商船三井,5795,5709,-1.48
85,8766,東京海上ホールディングス,7817,7697,-1.54
86,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4420,4350,-1.58
87,7011,三菱重工業,4024,3958,-1.64
88,2914,日本たばこ産業,6346,6233,-1.78
89,4507,塩野義製薬,3035,2981,-1.78
90,9432,日本電信電話,156,154,-1.79
91,9983,ファーストリテイリング,74740,73300,-1.93
92,9101,日本郵船,5610,5498,-2.0
93,9020,東日本旅客鉄道,3775,3692,-2.2
94,9433,ＫＤＤＩ,2780,2718,-2.23
95,4689,ＬＩＮＥヤフー,421,412,-2.26
96,8031,三井物産,5804,5662,-2.45
97,3382,セブン＆アイ・ホールディングス,1944,1894,-2.52
98,7832,バンダイナムコホールディングス,3860,3748,-2.9
99,7974,任天堂,7500,7274,-3.01
100,4661,オリエンタルランド,2230,2142,-3.99
101,8630,ＳＯＭＰＯホールディングス,6238,5568,-10.74
