順位,コード,銘柄名,開始価格(2026/04/28),終了価格(2026/04/30),上昇率(%)
1,6723,ルネサスエレクトロニクス,2913,3212,10.26
2,6762,ＴＤＫ,2677,2890,7.98
3,2802,味の素,4767,5090,6.78
4,6981,村田製作所,4840,5156,6.53
5,6752,パナソニック ホールディングス,3061,3203,4.64
6,6503,三菱電機,6078,6231,2.52
7,4063,信越化学工業,7081,7246,2.33
8,4519,中外製薬,7940,8116,2.22
9,4578,大塚ホールディングス,11180,11400,1.97
10,6902,デンソー,1846,1882,1.95
11,8058,三菱商事,4913,4990,1.57
12,5020,ＥＮＥＯＳホールディングス,1300,1320,1.54
13,2914,日本たばこ産業,5779,5865,1.49
14,8830,住友不動産,4773,4843,1.47
15,8031,三井物産,5820,5896,1.31
16,8729,ソニーフィナンシャルグループ,138,140,1.23
17,9434,ソフトバンク,219,222,1.19
18,9432,日本電信電話,151,152,0.93
19,6971,京セラ,2689,2710,0.8
20,8053,住友商事,5801,5840,0.67
21,9983,ファーストリテイリング,73170,73590,0.57
22,6367,ダイキン工業,21865,21965,0.46
23,8630,ＳＯＭＰＯホールディングス,5771,5797,0.45
24,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4019,4034,0.37
25,9101,日本郵船,5662,5669,0.12
26,9433,ＫＤＤＩ,2580,2582,0.12
27,6201,豊田自動織機,20420,20430,0.05
28,5802,住友電気工業,10190,10190,0.0
29,6178,日本郵政,1823,1823,0.0
30,8002,丸紅,6084,6072,-0.2
31,7182,ゆうちょ銀行,2696,2689,-0.28
32,8750,第一生命ホールディングス,1444,1440,-0.28
33,4507,塩野義製薬,3180,3170,-0.31
34,9735,セコム,5758,5740,-0.31
35,4502,武田薬品工業,5289,5270,-0.36
36,8801,三井不動産,1711,1704,-0.38
37,3407,旭化成,1542,1535,-0.45
38,8766,東京海上ホールディングス,7238,7202,-0.5
39,9104,商船三井,5965,5935,-0.5
40,2503,キリンホールディングス,2495,2480,-0.62
41,7309,シマノ,16530,16415,-0.7
42,7741,ＨＯＹＡ,29305,29100,-0.7
43,4188,三菱ケミカルグループ,918,912,-0.72
44,2502,アサヒグループホールディングス,1560,1548,-0.77
45,9984,ソフトバンクグループ,5268,5219,-0.93
46,5401,日本製鉄,578,572,-0.95
47,8001,伊藤忠商事,1958,1938,-1.05
48,9202,ＡＮＡホールディングス,2629,2602,-1.05
49,7733,オリンパス,1564,1546,-1.12
50,6273,ＳＭＣ,77000,76080,-1.19
51,4689,ＬＩＮＥヤフー,417,412,-1.2
52,6954,ファナック,6961,6875,-1.24
53,1928,積水ハウス,3455,3410,-1.3
54,8604,野村ホールディングス,1274,1256,-1.37
55,8802,三菱地所,4496,4434,-1.38
56,8591,オリックス,5350,5275,-1.4
57,4901,富士フイルムホールディングス,2932,2890,-1.45
58,8035,東京エレクトロン,45150,44390,-1.68
59,6326,クボタ,2598,2553,-1.71
60,5108,ブリヂストン,3322,3265,-1.72
61,7201,日産自動車,362,356,-1.79
62,1925,大和ハウス工業,4876,4788,-1.8
63,9020,東日本旅客鉄道,3451,3388,-1.83
64,8306,三菱ＵＦＪフィナンシャル・グループ,2875,2817,-2.02
65,7267,本田技研工業,1294,1266,-2.09
66,6098,リクルートホールディングス,7464,7303,-2.16
67,4568,第一三共,2650,2588,-2.34
68,8316,三井住友フィナンシャルグループ,5648,5512,-2.41
69,3382,セブン＆アイ・ホールディングス,1920,1871,-2.55
70,8309,三井住友トラスト・ホールディングス,5316,5178,-2.6
71,7832,バンダイナムコホールディングス,3721,3623,-2.63
72,7936,アシックス,4554,4432,-2.68
73,4452,花王,5997,5834,-2.72
74,4543,テルモ,2056,1997,-2.85
75,7203,トヨタ自動車,3112,3023,-2.86
76,7269,スズキ,1800,1748,-2.86
77,7751,キヤノン,4125,4007,-2.86
78,7974,任天堂,7922,7687,-2.97
79,8113,ユニ・チャーム,941,912,-3.09
80,8411,みずほフィナンシャルグループ,6936,6722,-3.09
81,6146,ディスコ,76440,74010,-3.18
82,4503,アステラス製薬,2306,2232,-3.21
83,6501,日立製作所,5047,4882,-3.27
84,8308,りそなホールディングス,2006,1938,-3.36
85,6861,キーエンス,73800,71300,-3.39
86,7270,ＳＵＢＡＲＵ,2438,2350,-3.65
87,6920,レーザーテック,44330,42690,-3.7
88,8267,イオン,1568,1510,-3.73
89,6758,ソニーグループ,3234,3113,-3.74
90,7011,三菱重工業,4797,4615,-3.79
91,4307,野村総合研究所,4313,4142,-3.96
92,6301,小松製作所,6856,6557,-4.36
93,8015,豊田通商,6379,6101,-4.36
94,9021,西日本旅客鉄道,2964,2832,-4.45
95,8697,日本取引所グループ,1952,1864,-4.53
96,5803,フジクラ,6281,5971,-4.94
97,6857,アドバンテスト,29750,28260,-5.01
98,6701,日本電気,4444,4101,-7.72
99,9022,東海旅客鉄道,4069,3744,-7.99
100,4661,オリエンタルランド,2434,2188,-10.1
101,6702,富士通,3693,3180,-13.89
