順位,コード,銘柄名,開始価格(2026/05/01),終了価格(2026/05/07),上昇率(%)
1,9984,ソフトバンクグループ,5424,6424,18.44
2,5802,住友電気工業,9900,11345,14.6
3,6723,ルネサスエレクトロニクス,3205,3623,13.04
4,5803,フジクラ,5808,6498,11.88
5,6981,村田製作所,5138,5648,9.93
6,8035,東京エレクトロン,47450,51720,9.0
7,4063,信越化学工業,7104,7711,8.54
8,6367,ダイキン工業,22855,24800,8.51
9,8053,住友商事,6840,7400,8.19
10,6857,アドバンテスト,27815,29715,6.83
11,7936,アシックス,4341,4628,6.61
12,6503,三菱電機,6071,6448,6.21
13,7182,ゆうちょ銀行,2656,2817,6.06
14,6146,ディスコ,72250,76590,6.01
15,6702,富士通,3075,3240,5.37
16,9202,ＡＮＡホールディングス,2710,2848,5.13
17,6273,ＳＭＣ,75230,78840,4.8
18,4689,ＬＩＮＥヤフー,420,440,4.77
19,6920,レーザーテック,42930,44920,4.64
20,8309,三井住友トラスト・ホールディングス,5328,5571,4.56
21,6762,ＴＤＫ,2776,2896,4.34
22,6326,クボタ,2588,2700,4.31
23,8308,りそなホールディングス,1927,2010,4.31
24,4503,アステラス製薬,2207,2302,4.3
25,6954,ファナック,6820,7095,4.03
26,4188,三菱ケミカルグループ,898,934,3.96
27,9983,ファーストリテイリング,72890,75760,3.94
28,6971,京セラ,2746,2851,3.8
29,6861,キーエンス,76460,79350,3.78
30,8058,三菱商事,5219,5398,3.43
31,8411,みずほフィナンシャルグループ,6704,6926,3.31
32,8750,第一生命ホールディングス,1423,1464,2.88
33,6178,日本郵政,1812,1861,2.73
34,8316,三井住友フィナンシャルグループ,5541,5689,2.67
35,8630,ＳＯＭＰＯホールディングス,5705,5857,2.66
36,8604,野村ホールディングス,1220,1250,2.5
37,5108,ブリヂストン,3231,3306,2.32
38,8306,三菱ＵＦＪフィナンシャル・グループ,2798,2863,2.32
39,4452,花王,5862,5991,2.2
40,8113,ユニ・チャーム,916,935,2.07
41,4901,富士フイルムホールディングス,2876,2934,2.03
42,2503,キリンホールディングス,2498,2546,1.94
43,9022,東海旅客鉄道,3611,3681,1.94
44,5401,日本製鉄,572,583,1.89
45,7269,スズキ,1753,1785,1.83
46,8766,東京海上ホールディングス,7093,7210,1.65
47,7309,シマノ,16645,16915,1.62
48,4307,野村総合研究所,4183,4249,1.58
49,2802,味の素,4882,4958,1.56
50,6098,リクルートホールディングス,7361,7475,1.55
51,3407,旭化成,1524,1546,1.38
52,4502,武田薬品工業,5239,5310,1.36
53,8830,住友不動産,4735,4790,1.16
54,6501,日立製作所,4795,4850,1.15
55,8001,伊藤忠商事,1987,2009,1.11
56,9021,西日本旅客鉄道,2857,2886,1.03
57,1925,大和ハウス工業,4763,4811,1.01
58,6902,デンソー,1896,1914,1.0
59,6301,小松製作所,6514,6575,0.94
60,2914,日本たばこ産業,5886,5937,0.87
61,8591,オリックス,5209,5252,0.83
62,6752,パナソニック ホールディングス,3324,3349,0.75
63,4507,塩野義製薬,3128,3151,0.74
64,7751,キヤノン,4017,4043,0.65
65,9101,日本郵船,5629,5660,0.55
66,1928,積水ハウス,3417,3431,0.41
67,4578,大塚ホールディングス,11220,11260,0.36
68,8801,三井不動産,1693,1699,0.35
69,9434,ソフトバンク,221,221,0.32
70,7201,日産自動車,351,352,0.31
71,8697,日本取引所グループ,1862,1866,0.24
72,7832,バンダイナムコホールディングス,3608,3615,0.19
73,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,3996,4003,0.18
74,6758,ソニーグループ,3127,3130,0.1
75,8802,三菱地所,4383,4386,0.07
76,6201,豊田自動織機,20425,20430,0.02
77,6701,日本電気,4035,4028,-0.17
78,4661,オリエンタルランド,2223,2218,-0.22
79,7267,本田技研工業,1262,1260,-0.24
80,8267,イオン,1552,1547,-0.29
81,2502,アサヒグループホールディングス,1550,1544,-0.39
82,8015,豊田通商,6868,6840,-0.41
83,8729,ソニーフィナンシャルグループ,142,141,-0.49
84,4568,第一三共,2616,2600,-0.63
85,7203,トヨタ自動車,3000,2978,-0.73
86,9104,商船三井,5917,5870,-0.79
87,9432,日本電信電話,152,151,-0.79
88,9433,ＫＤＤＩ,2548,2525,-0.9
89,5020,ＥＮＥＯＳホールディングス,1326,1311,-1.09
90,7270,ＳＵＢＡＲＵ,2370,2343,-1.12
91,7741,ＨＯＹＡ,27830,27510,-1.15
92,7011,三菱重工業,4586,4527,-1.29
93,3382,セブン＆アイ・ホールディングス,1918,1893,-1.33
94,4543,テルモ,1989,1957,-1.61
95,9735,セコム,5730,5628,-1.78
96,4519,中外製薬,8245,8095,-1.82
97,7733,オリンパス,1571,1534,-2.32
98,9020,東日本旅客鉄道,3700,3610,-2.43
99,7974,任天堂,7597,7404,-2.54
100,8031,三井物産,5765,5578,-3.24
101,8002,丸紅,5755,5495,-4.52
