順位,コード,銘柄名,開始価格(2026/05/28),終了価格(2026/05/29),上昇率(%)
1,6981,村田製作所,8538,9625,12.73
2,6762,ＴＤＫ,3796,4108,8.22
3,4503,アステラス製薬,2124,2283,7.49
4,6861,キーエンス,75180,80110,6.56
5,6971,京セラ,3271,3483,6.48
6,4063,信越化学工業,7344,7758,5.64
7,5802,住友電気工業,11955,12585,5.27
8,4578,大塚ホールディングス,11140,11715,5.16
9,9984,ソフトバンクグループ,7125,7491,5.14
10,9983,ファーストリテイリング,78380,82330,5.04
11,6723,ルネサスエレクトロニクス,4306,4500,4.51
12,6752,パナソニック ホールディングス,3544,3700,4.4
13,7936,アシックス,4657,4843,3.99
14,4307,野村総合研究所,4832,5022,3.93
15,6098,リクルートホールディングス,10185,10570,3.78
16,7182,ゆうちょ銀行,2960,3069,3.66
17,9202,ＡＮＡホールディングス,2886,2988,3.55
18,8015,豊田通商,6729,6930,2.99
19,8697,日本取引所グループ,1896,1951,2.93
20,7269,スズキ,1919,1974,2.84
21,8604,野村ホールディングス,1250,1285,2.76
22,4188,三菱ケミカルグループ,1116,1147,2.73
23,7974,任天堂,6972,7148,2.52
24,6301,小松製作所,6422,6577,2.41
25,4661,オリエンタルランド,2250,2296,2.02
26,4519,中外製薬,7743,7892,1.92
27,6178,日本郵政,2030,2068,1.9
28,8591,オリックス,6124,6237,1.85
29,8411,みずほフィナンシャルグループ,7065,7195,1.84
30,6273,ＳＭＣ,67880,69110,1.81
31,3407,旭化成,1756,1787,1.79
32,8830,住友不動産,3652,3717,1.78
33,8801,三井不動産,1505,1530,1.69
34,5108,ブリヂストン,3392,3443,1.5
35,4568,第一三共,2662,2700,1.43
36,3382,セブン＆アイ・ホールディングス,1836,1860,1.31
37,6902,デンソー,1886,1908,1.17
38,2914,日本たばこ産業,6098,6167,1.13
39,6326,クボタ,2810,2842,1.12
40,5020,ＥＮＥＯＳホールディングス,1292,1306,1.08
41,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4245,4287,0.99
42,8630,ＳＯＭＰＯホールディングス,5902,5958,0.95
43,8802,三菱地所,4018,4056,0.95
44,9433,ＫＤＤＩ,2714,2738,0.9
45,9104,商船三井,5433,5476,0.79
46,7267,本田技研工業,1442,1452,0.76
47,4689,ＬＩＮＥヤフー,414,417,0.68
48,4452,花王,6079,6115,0.59
49,8306,三菱ＵＦＪフィナンシャル・グループ,2982,2999,0.57
50,8058,三菱商事,5038,5065,0.54
51,5401,日本製鉄,564,567,0.53
52,8750,第一生命ホールディングス,1628,1636,0.52
53,6701,日本電気,4086,4103,0.42
54,7741,ＨＯＹＡ,26970,27080,0.41
55,7203,トヨタ自動車,3030,3042,0.4
56,9021,西日本旅客鉄道,2620,2628,0.32
57,8001,伊藤忠商事,1930,1936,0.28
58,9022,東海旅客鉄道,3471,3479,0.23
59,2802,味の素,5142,5152,0.19
60,8035,東京エレクトロン,52320,52420,0.19
61,8308,りそなホールディングス,2036,2040,0.17
62,4507,塩野義製薬,2996,3000,0.12
63,7751,キヤノン,4225,4228,0.07
64,4543,テルモ,2400,2401,0.06
65,6920,レーザーテック,40110,40130,0.05
66,7011,三菱重工業,3804,3806,0.05
67,6503,三菱電機,6557,6558,0.02
68,4901,富士フイルムホールディングス,3322,3322,0.0
69,6201,豊田自動織機,20450,20450,0.0
70,4502,武田薬品工業,5120,5118,-0.04
71,8053,住友商事,7105,7099,-0.08
72,2503,キリンホールディングス,2721,2718,-0.09
73,6501,日立製作所,5174,5166,-0.15
74,9101,日本郵船,5322,5313,-0.17
75,6758,ソニーグループ,3451,3444,-0.2
76,1928,積水ハウス,3362,3353,-0.27
77,9432,日本電信電話,150,150,-0.4
78,2502,アサヒグループホールディングス,1531,1524,-0.49
79,8316,三井住友フィナンシャルグループ,5849,5819,-0.51
80,8002,丸紅,5224,5196,-0.54
81,7201,日産自動車,399,397,-0.55
82,8113,ユニ・チャーム,954,948,-0.57
83,7309,シマノ,16605,16505,-0.6
84,6857,アドバンテスト,26340,26170,-0.65
85,8031,三井物産,5327,5290,-0.69
86,8267,イオン,1402,1392,-0.75
87,6367,ダイキン工業,23480,23285,-0.83
88,1925,大和ハウス工業,4374,4334,-0.91
89,9020,東日本旅客鉄道,3444,3412,-0.93
90,7270,ＳＵＢＡＲＵ,2466,2442,-0.95
91,9434,ソフトバンク,217,215,-0.97
92,7832,バンダイナムコホールディングス,3678,3641,-1.01
93,8766,東京海上ホールディングス,7189,7111,-1.08
94,6954,ファナック,7984,7892,-1.15
95,8729,ソニーフィナンシャルグループ,142,140,-1.34
96,8309,三井住友トラスト・ホールディングス,5554,5474,-1.44
97,9735,セコム,6462,6350,-1.73
98,6146,ディスコ,66350,65090,-1.9
99,7733,オリンパス,1822,1786,-1.98
100,6702,富士通,3513,3368,-4.13
101,5803,フジクラ,5017,4771,-4.9
