順位,コード,銘柄名,開始価格(2026/04/24),終了価格(2026/04/27),上昇率(%)
1,6954,ファナック,6256,7256,15.98
2,6861,キーエンス,63180,73180,15.83
3,6752,パナソニック ホールディングス,2879,3103,7.78
4,6273,ＳＭＣ,70470,75480,7.11
5,6857,アドバンテスト,29440,31500,7.0
6,6146,ディスコ,71700,76030,6.04
7,5803,フジクラ,6037,6347,5.14
8,4568,第一三共,2499,2602,4.14
9,6702,富士通,3696,3825,3.49
10,8035,東京エレクトロン,45850,47100,2.73
11,4063,信越化学工業,6768,6949,2.67
12,8411,みずほフィナンシャルグループ,6427,6598,2.66
13,9983,ファーストリテイリング,70090,71870,2.54
14,6701,日本電気,4513,4625,2.48
15,6501,日立製作所,5229,5356,2.43
16,6301,小松製作所,6907,7053,2.11
17,7733,オリンパス,1528,1556,1.77
18,6920,レーザーテック,45060,45770,1.58
19,7936,アシックス,4414,4478,1.45
20,8015,豊田通商,6124,6205,1.32
21,7741,ＨＯＹＡ,28590,28940,1.22
22,7182,ゆうちょ銀行,2510,2540,1.18
23,8306,三菱ＵＦＪフィナンシャル・グループ,2756,2788,1.18
24,8316,三井住友フィナンシャルグループ,5347,5404,1.07
25,6762,ＴＤＫ,2690,2718,1.06
26,8308,りそなホールディングス,1820,1838,0.96
27,4452,花王,5901,5953,0.88
28,6902,デンソー,1868,1884,0.83
29,6503,三菱電機,5999,6048,0.82
30,2802,味の素,4758,4786,0.59
31,8591,オリックス,4846,4871,0.52
32,5108,ブリヂストン,3285,3301,0.49
33,8267,イオン,1540,1547,0.49
34,5802,住友電気工業,10015,10060,0.45
35,8697,日本取引所グループ,1836,1842,0.38
36,9735,セコム,5670,5674,0.07
37,1928,積水ハウス,3388,3390,0.06
38,7203,トヨタ自動車,3067,3067,0.0
39,8729,ソニーフィナンシャルグループ,132,132,0.0
40,6201,豊田自動織機,20470,20465,-0.02
41,7269,スズキ,1776,1776,-0.03
42,6098,リクルートホールディングス,7308,7302,-0.08
43,8830,住友不動産,4682,4676,-0.13
44,8766,東京海上ホールディングス,7176,7164,-0.17
45,4188,三菱ケミカルグループ,911,910,-0.18
46,8801,三井不動産,1704,1701,-0.18
47,9432,日本電信電話,152,151,-0.2
48,8309,三井住友トラスト・ホールディングス,5120,5107,-0.25
49,1925,大和ハウス工業,4783,4768,-0.31
50,7267,本田技研工業,1296,1292,-0.31
51,7270,ＳＵＢＡＲＵ,2448,2440,-0.31
52,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,3946,3931,-0.38
53,6981,村田製作所,4936,4916,-0.41
54,6367,ダイキン工業,21565,21475,-0.42
55,8002,丸紅,5936,5910,-0.44
56,7751,キヤノン,4024,4005,-0.47
57,3407,旭化成,1527,1520,-0.49
58,4661,オリエンタルランド,2400,2388,-0.52
59,6723,ルネサスエレクトロニクス,3141,3124,-0.54
60,7201,日産自動車,353,351,-0.54
61,4901,富士フイルムホールディングス,2896,2880,-0.57
62,6758,ソニーグループ,3208,3188,-0.62
63,9021,西日本旅客鉄道,2966,2945,-0.69
64,5401,日本製鉄,573,569,-0.72
65,8001,伊藤忠商事,1940,1926,-0.72
66,7974,任天堂,7953,7893,-0.75
67,2503,キリンホールディングス,2506,2486,-0.8
68,2914,日本たばこ産業,5829,5781,-0.82
69,8750,第一生命ホールディングス,1410,1398,-0.85
70,9020,東日本旅客鉄道,3461,3427,-0.98
71,9434,ソフトバンク,220,218,-1.0
72,7011,三菱重工業,4738,4689,-1.03
73,8802,三菱地所,4471,4423,-1.07
74,9202,ＡＮＡホールディングス,2697,2667,-1.11
75,4507,塩野義製薬,3110,3075,-1.13
76,5020,ＥＮＥＯＳホールディングス,1300,1284,-1.19
77,6178,日本郵政,1780,1758,-1.24
78,4689,ＬＩＮＥヤフー,416,410,-1.39
79,8113,ユニ・チャーム,952,939,-1.41
80,9022,東海旅客鉄道,4110,4052,-1.41
81,4543,テルモ,2056,2025,-1.51
82,8053,住友商事,5781,5693,-1.52
83,4578,大塚ホールディングス,10810,10645,-1.53
84,8031,三井物産,5784,5690,-1.63
85,7832,バンダイナムコホールディングス,3744,3682,-1.66
86,2502,アサヒグループホールディングス,1558,1532,-1.67
87,3382,セブン＆アイ・ホールディングス,1913,1878,-1.8
88,9433,ＫＤＤＩ,2565,2518,-1.83
89,6971,京セラ,2710,2658,-1.92
90,9984,ソフトバンクグループ,5963,5844,-2.0
91,7309,シマノ,16620,16275,-2.08
92,4502,武田薬品工業,5335,5218,-2.19
93,8630,ＳＯＭＰＯホールディングス,5837,5695,-2.43
94,6326,クボタ,2559,2492,-2.64
95,8058,三菱商事,4950,4810,-2.83
96,4503,アステラス製薬,2468,2386,-3.34
97,9101,日本郵船,5874,5580,-5.01
98,9104,商船三井,6122,5773,-5.7
99,8604,野村ホールディングス,1312,1230,-6.21
100,4307,野村総合研究所,5092,4409,-13.41
101,4519,中外製薬,8845,7445,-15.83
