順位,コード,銘柄名,開始価格(2026/05/27),終了価格(2026/05/28),上昇率(%)
1,6981,村田製作所,7820,8538,9.18
2,6762,ＴＤＫ,3608,3796,5.21
3,6971,京セラ,3129,3271,4.54
4,6501,日立製作所,4960,5174,4.31
5,4901,富士フイルムホールディングス,3224,3322,3.04
6,6098,リクルートホールディングス,9907,10185,2.81
7,8113,ユニ・チャーム,928,954,2.73
8,7201,日産自動車,390,399,2.44
9,4661,オリエンタルランド,2199,2250,2.32
10,6273,ＳＭＣ,66470,67880,2.12
11,6326,クボタ,2756,2810,1.96
12,4307,野村総合研究所,4747,4832,1.79
13,9101,日本郵船,5230,5322,1.76
14,7267,本田技研工業,1422,1442,1.41
15,4452,花王,5999,6079,1.33
16,7270,ＳＵＢＡＲＵ,2437,2466,1.17
17,5108,ブリヂストン,3353,3392,1.16
18,9433,ＫＤＤＩ,2690,2714,0.91
19,2502,アサヒグループホールディングス,1518,1531,0.89
20,6503,三菱電機,6500,6557,0.88
21,7751,キヤノン,4189,4225,0.86
22,7203,トヨタ自動車,3008,3030,0.73
23,1928,積水ハウス,3338,3362,0.72
24,9983,ファーストリテイリング,77820,78380,0.72
25,4689,ＬＩＮＥヤフー,412,414,0.48
26,6367,ダイキン工業,23405,23480,0.32
27,3407,旭化成,1750,1756,0.31
28,7269,スズキ,1914,1919,0.24
29,4543,テルモ,2396,2400,0.17
30,9021,西日本旅客鉄道,2616,2620,0.15
31,8001,伊藤忠商事,1928,1930,0.13
32,9202,ＡＮＡホールディングス,2883,2886,0.1
33,4188,三菱ケミカルグループ,1116,1116,0.09
34,8002,丸紅,5220,5224,0.08
35,5401,日本製鉄,563,564,0.07
36,6702,富士通,3512,3513,0.03
37,6201,豊田自動織機,20450,20450,0.0
38,3382,セブン＆アイ・ホールディングス,1836,1836,-0.03
39,2503,キリンホールディングス,2723,2721,-0.07
40,6902,デンソー,1888,1886,-0.13
41,4502,武田薬品工業,5128,5120,-0.16
42,2914,日本たばこ産業,6115,6098,-0.28
43,8035,東京エレクトロン,52500,52320,-0.34
44,5020,ＥＮＥＯＳホールディングス,1296,1292,-0.35
45,7309,シマノ,16665,16605,-0.36
46,9104,商船三井,5454,5433,-0.39
47,8308,りそなホールディングス,2046,2036,-0.46
48,4503,アステラス製薬,2134,2124,-0.47
49,5802,住友電気工業,12015,11955,-0.5
50,8591,オリックス,6156,6124,-0.52
51,8630,ＳＯＭＰＯホールディングス,5933,5902,-0.52
52,8802,三菱地所,4041,4018,-0.57
53,9434,ソフトバンク,219,217,-0.59
54,8031,三井物産,5359,5327,-0.6
55,9432,日本電信電話,151,150,-0.6
56,1925,大和ハウス工業,4402,4374,-0.64
57,6752,パナソニック ホールディングス,3569,3544,-0.7
58,4568,第一三共,2682,2662,-0.73
59,8604,野村ホールディングス,1260,1250,-0.75
60,6861,キーエンス,75780,75180,-0.79
61,7936,アシックス,4694,4657,-0.79
62,6301,小松製作所,6476,6422,-0.83
63,7741,ＨＯＹＡ,27195,26970,-0.83
64,9022,東海旅客鉄道,3500,3471,-0.83
65,4063,信越化学工業,7406,7344,-0.84
66,8729,ソニーフィナンシャルグループ,143,142,-0.84
67,8267,イオン,1415,1402,-0.92
68,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4290,4245,-1.05
69,4507,塩野義製薬,3031,2996,-1.14
70,8053,住友商事,7190,7105,-1.18
71,7733,オリンパス,1845,1822,-1.27
72,7832,バンダイナムコホールディングス,3727,3678,-1.31
73,8309,三井住友トラスト・ホールディングス,5628,5554,-1.31
74,7182,ゆうちょ銀行,3001,2960,-1.35
75,8697,日本取引所グループ,1922,1896,-1.4
76,6701,日本電気,4146,4086,-1.45
77,6178,日本郵政,2060,2030,-1.46
78,4578,大塚ホールディングス,11310,11140,-1.5
79,8306,三菱ＵＦＪフィナンシャル・グループ,3031,2982,-1.62
80,8015,豊田通商,6841,6729,-1.64
81,8830,住友不動産,3713,3652,-1.64
82,8058,三菱商事,5124,5038,-1.68
83,8316,三井住友フィナンシャルグループ,5950,5849,-1.7
84,4519,中外製薬,7878,7743,-1.71
85,8801,三井不動産,1532,1505,-1.76
86,6146,ディスコ,67630,66350,-1.89
87,9735,セコム,6588,6462,-1.91
88,9984,ソフトバンクグループ,7272,7125,-2.02
89,6954,ファナック,8154,7984,-2.08
90,6758,ソニーグループ,3525,3451,-2.1
91,8411,みずほフィナンシャルグループ,7217,7065,-2.11
92,8750,第一生命ホールディングス,1664,1628,-2.19
93,7974,任天堂,7131,6972,-2.23
94,9020,東日本旅客鉄道,3528,3444,-2.38
95,5803,フジクラ,5140,5017,-2.39
96,7011,三菱重工業,3898,3804,-2.41
97,8766,東京海上ホールディングス,7367,7189,-2.42
98,2802,味の素,5289,5142,-2.78
99,6857,アドバンテスト,27130,26340,-2.91
100,6920,レーザーテック,41530,40110,-3.42
101,6723,ルネサスエレクトロニクス,4474,4306,-3.76
