順位,コード,銘柄名,開始価格(2026/05/26),終了価格(2026/05/27),上昇率(%)
1,4063,信越化学工業,7022,7406,5.47
2,7741,ＨＯＹＡ,25970,27195,4.72
3,6702,富士通,3370,3512,4.21
4,6857,アドバンテスト,26075,27130,4.05
5,4307,野村総合研究所,4564,4747,4.01
6,7733,オリンパス,1776,1845,3.89
7,4519,中外製薬,7586,7878,3.85
8,8630,ＳＯＭＰＯホールディングス,5742,5933,3.33
9,7936,アシックス,4554,4694,3.07
10,9983,ファーストリテイリング,75510,77820,3.06
11,4689,ＬＩＮＥヤフー,401,412,2.87
12,9433,ＫＤＤＩ,2616,2690,2.79
13,7832,バンダイナムコホールディングス,3631,3727,2.64
14,4543,テルモ,2334,2396,2.61
15,7201,日産自動車,380,390,2.55
16,8113,ユニ・チャーム,908,928,2.21
17,4901,富士フイルムホールディングス,3155,3224,2.19
18,6326,クボタ,2700,2756,2.11
19,8035,東京エレクトロン,51420,52500,2.1
20,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4202,4290,2.09
21,6902,デンソー,1850,1888,2.05
22,4661,オリエンタルランド,2156,2199,2.02
23,4502,武田薬品工業,5060,5128,1.34
24,4507,塩野義製薬,2992,3031,1.29
25,6367,ダイキン工業,23135,23405,1.17
26,9735,セコム,6514,6588,1.14
27,2502,アサヒグループホールディングス,1501,1518,1.1
28,6146,ディスコ,66910,67630,1.08
29,7267,本田技研工業,1407,1422,1.03
30,5401,日本製鉄,558,563,1.02
31,9434,ソフトバンク,216,219,1.02
32,7974,任天堂,7060,7131,1.01
33,4452,花王,5941,5999,0.98
34,9432,日本電信電話,150,151,0.87
35,6098,リクルートホールディングス,9824,9907,0.84
36,6701,日本電気,4113,4146,0.8
37,8729,ソニーフィナンシャルグループ,142,143,0.77
38,5020,ＥＮＥＯＳホールディングス,1288,1296,0.66
39,8001,伊藤忠商事,1915,1928,0.65
40,5802,住友電気工業,11940,12015,0.63
41,7309,シマノ,16565,16665,0.6
42,8766,東京海上ホールディングス,7356,7367,0.15
43,1925,大和ハウス工業,4402,4402,0.0
44,3407,旭化成,1750,1750,-0.03
45,2914,日本たばこ産業,6119,6115,-0.07
46,6201,豊田自動織機,20470,20450,-0.1
47,3382,セブン＆アイ・ホールディングス,1839,1836,-0.16
48,1928,積水ハウス,3345,3338,-0.21
49,9202,ＡＮＡホールディングス,2890,2883,-0.22
50,5108,ブリヂストン,3361,3353,-0.24
51,4188,三菱ケミカルグループ,1118,1116,-0.27
52,7269,スズキ,1921,1914,-0.34
53,6920,レーザーテック,41680,41530,-0.36
54,8031,三井物産,5381,5359,-0.41
55,8750,第一生命ホールディングス,1672,1664,-0.45
56,7203,トヨタ自動車,3022,3008,-0.46
57,9101,日本郵船,5254,5230,-0.46
58,7751,キヤノン,4209,4189,-0.48
59,6762,ＴＤＫ,3627,3608,-0.52
60,9021,西日本旅客鉄道,2630,2616,-0.53
61,6971,京セラ,3146,3129,-0.54
62,8309,三井住友トラスト・ホールディングス,5661,5628,-0.58
63,6503,三菱電機,6539,6500,-0.6
64,6758,ソニーグループ,3548,3525,-0.65
65,9020,東日本旅客鉄道,3551,3528,-0.65
66,8604,野村ホールディングス,1269,1260,-0.71
67,6273,ＳＭＣ,66960,66470,-0.73
68,8801,三井不動産,1544,1532,-0.81
69,6301,小松製作所,6530,6476,-0.83
70,4568,第一三共,2706,2682,-0.89
71,8267,イオン,1428,1415,-0.91
72,8306,三菱ＵＦＪフィナンシャル・グループ,3061,3031,-0.98
73,6178,日本郵政,2080,2060,-0.99
74,2802,味の素,5344,5289,-1.03
75,6752,パナソニック ホールディングス,3607,3569,-1.05
76,2503,キリンホールディングス,2753,2723,-1.09
77,4578,大塚ホールディングス,11435,11310,-1.09
78,7011,三菱重工業,3944,3898,-1.17
79,7270,ＳＵＢＡＲＵ,2466,2437,-1.18
80,8058,三菱商事,5186,5124,-1.2
81,9022,東海旅客鉄道,3547,3500,-1.33
82,7182,ゆうちょ銀行,3050,3001,-1.61
83,6861,キーエンス,77120,75780,-1.74
84,9104,商船三井,5554,5454,-1.8
85,8308,りそなホールディングス,2084,2046,-1.87
86,6501,日立製作所,5056,4960,-1.9
87,8316,三井住友フィナンシャルグループ,6065,5950,-1.9
88,8411,みずほフィナンシャルグループ,7359,7217,-1.93
89,8015,豊田通商,6996,6841,-2.22
90,8802,三菱地所,4133,4041,-2.23
91,8053,住友商事,7360,7190,-2.31
92,8002,丸紅,5348,5220,-2.39
93,6723,ルネサスエレクトロニクス,4589,4474,-2.51
94,6954,ファナック,8399,8154,-2.92
95,6981,村田製作所,8077,7820,-3.18
96,8591,オリックス,6362,6156,-3.24
97,8697,日本取引所グループ,1990,1922,-3.39
98,5803,フジクラ,5329,5140,-3.55
99,4503,アステラス製薬,2234,2134,-4.45
100,8830,住友不動産,3956,3713,-6.14
101,9984,ソフトバンクグループ,7841,7272,-7.26
