順位,コード,銘柄名,開始価格(2026/04/27),終了価格(2026/04/28),上昇率(%)
1,8591,オリックス,4871,5350,9.83
2,8308,りそなホールディングス,1838,2006,9.14
3,4519,中外製薬,7445,7940,6.65
4,7182,ゆうちょ銀行,2540,2696,6.18
5,8697,日本取引所グループ,1842,1952,5.94
6,8411,みずほフィナンシャルグループ,6598,6936,5.12
7,4578,大塚ホールディングス,10645,11180,5.03
8,8316,三井住友フィナンシャルグループ,5404,5648,4.52
9,8729,ソニーフィナンシャルグループ,132,138,4.3
10,6326,クボタ,2492,2598,4.25
11,8309,三井住友トラスト・ホールディングス,5107,5316,4.09
12,6178,日本郵政,1758,1823,3.73
13,8604,野村ホールディングス,1230,1274,3.54
14,4507,塩野義製薬,3075,3180,3.41
15,9104,商船三井,5773,5965,3.33
16,7201,日産自動車,351,362,3.28
17,8750,第一生命ホールディングス,1398,1444,3.25
18,8306,三菱ＵＦＪフィナンシャル・グループ,2788,2875,3.12
19,7751,キヤノン,4005,4125,3.0
20,8002,丸紅,5910,6084,2.94
21,8015,豊田通商,6205,6379,2.8
22,9433,ＫＤＤＩ,2518,2580,2.44
23,7011,三菱重工業,4689,4797,2.3
24,8031,三井物産,5690,5820,2.28
25,1925,大和ハウス工業,4768,4876,2.27
26,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,3931,4019,2.24
27,6098,リクルートホールディングス,7302,7464,2.22
28,3382,セブン＆アイ・ホールディングス,1878,1920,2.21
29,8058,三菱商事,4810,4913,2.14
30,8830,住友不動産,4676,4773,2.07
31,6273,ＳＭＣ,75480,77000,2.01
32,4661,オリエンタルランド,2388,2434,1.97
33,1928,積水ハウス,3390,3455,1.92
34,4063,信越化学工業,6949,7081,1.9
35,8053,住友商事,5693,5801,1.9
36,4568,第一三共,2602,2650,1.84
37,4901,富士フイルムホールディングス,2880,2932,1.84
38,2502,アサヒグループホールディングス,1532,1560,1.83
39,6367,ダイキン工業,21475,21865,1.82
40,9983,ファーストリテイリング,71870,73170,1.81
41,4689,ＬＩＮＥヤフー,410,417,1.76
42,7936,アシックス,4478,4554,1.7
43,8001,伊藤忠商事,1926,1958,1.69
44,8802,三菱地所,4423,4496,1.65
45,7309,シマノ,16275,16530,1.57
46,5401,日本製鉄,569,578,1.55
47,4543,テルモ,2025,2056,1.51
48,3407,旭化成,1520,1542,1.48
49,9735,セコム,5674,5758,1.48
50,7203,トヨタ自動車,3067,3112,1.47
51,9101,日本郵船,5580,5662,1.47
52,6758,ソニーグループ,3188,3234,1.44
53,8267,イオン,1547,1568,1.39
54,4502,武田薬品工業,5218,5289,1.36
55,7269,スズキ,1776,1800,1.35
56,8630,ＳＯＭＰＯホールディングス,5695,5771,1.33
57,5020,ＥＮＥＯＳホールディングス,1284,1300,1.29
58,5802,住友電気工業,10060,10190,1.29
59,7741,ＨＯＹＡ,28940,29305,1.26
60,6971,京セラ,2658,2689,1.17
61,7832,バンダイナムコホールディングス,3682,3721,1.06
62,8766,東京海上ホールディングス,7164,7238,1.03
63,4188,三菱ケミカルグループ,910,918,0.93
64,6861,キーエンス,73180,73800,0.85
65,4452,花王,5953,5997,0.74
66,9020,東日本旅客鉄道,3427,3451,0.7
67,5108,ブリヂストン,3301,3322,0.64
68,9021,西日本旅客鉄道,2945,2964,0.63
69,9434,ソフトバンク,218,219,0.6
70,8801,三井不動産,1701,1711,0.59
71,7733,オリンパス,1556,1564,0.55
72,6146,ディスコ,76030,76440,0.54
73,6503,三菱電機,6048,6078,0.5
74,9022,東海旅客鉄道,4052,4069,0.42
75,7974,任天堂,7893,7922,0.37
76,2503,キリンホールディングス,2486,2495,0.34
77,8113,ユニ・チャーム,939,941,0.28
78,7267,本田技研工業,1292,1294,0.08
79,2914,日本たばこ産業,5781,5779,-0.03
80,7270,ＳＵＢＡＲＵ,2440,2438,-0.06
81,9432,日本電信電話,151,151,-0.07
82,6201,豊田自動織機,20465,20420,-0.22
83,2802,味の素,4786,4767,-0.4
84,5803,フジクラ,6347,6281,-1.04
85,6752,パナソニック ホールディングス,3103,3061,-1.35
86,9202,ＡＮＡホールディングス,2667,2629,-1.42
87,6762,ＴＤＫ,2718,2677,-1.51
88,6981,村田製作所,4916,4840,-1.55
89,6902,デンソー,1884,1846,-1.96
90,4307,野村総合研究所,4409,4313,-2.18
91,6301,小松製作所,7053,6856,-2.79
92,6920,レーザーテック,45770,44330,-3.15
93,4503,アステラス製薬,2386,2306,-3.33
94,6702,富士通,3825,3693,-3.45
95,6701,日本電気,4625,4444,-3.91
96,6954,ファナック,7256,6961,-4.07
97,8035,東京エレクトロン,47100,45150,-4.14
98,6857,アドバンテスト,31500,29750,-5.56
99,6501,日立製作所,5356,5047,-5.77
100,6723,ルネサスエレクトロニクス,3124,2913,-6.75
101,9984,ソフトバンクグループ,5844,5268,-9.86
