順位,コード,銘柄名,開始価格(2026/05/22),終了価格(2026/05/25),上昇率(%)
1,5803,フジクラ,4850,5550,14.43
2,6920,レーザーテック,38130,43020,12.82
3,6981,村田製作所,7130,7928,11.19
4,6762,ＴＤＫ,3370,3715,10.24
5,7269,スズキ,1790,1911,6.79
6,6723,ルネサスエレクトロニクス,4044,4297,6.26
7,4188,三菱ケミカルグループ,1028,1090,6.03
8,6146,ディスコ,65860,69780,5.95
9,8035,東京エレクトロン,49830,52180,4.72
10,9984,ソフトバンクグループ,6757,7070,4.63
11,6503,三菱電機,6301,6560,4.11
12,5802,住友電気工業,11820,12265,3.76
13,6971,京セラ,2997,3106,3.64
14,8830,住友不動産,3741,3869,3.42
15,6857,アドバンテスト,26845,27755,3.39
16,2802,味の素,5300,5475,3.3
17,9202,ＡＮＡホールディングス,2784,2874,3.25
18,7201,日産自動車,362,374,3.23
19,8053,住友商事,7131,7361,3.23
20,6954,ファナック,8174,8428,3.11
21,8801,三井不動産,1480,1523,2.91
22,3407,旭化成,1726,1770,2.55
23,6301,小松製作所,6236,6385,2.39
24,4507,塩野義製薬,2960,3029,2.35
25,7936,アシックス,4545,4650,2.31
26,6758,ソニーグループ,3525,3598,2.07
27,9735,セコム,6356,6479,1.94
28,4568,第一三共,2650,2700,1.92
29,6326,クボタ,2700,2748,1.76
30,8015,豊田通商,6974,7096,1.75
31,6367,ダイキン工業,24065,24470,1.68
32,6752,パナソニック ホールディングス,3507,3566,1.68
33,7203,トヨタ自動車,2987,3026,1.31
34,5108,ブリヂストン,3313,3349,1.09
35,6501,日立製作所,5002,5054,1.04
36,8697,日本取引所グループ,1980,2000,1.01
37,6273,ＳＭＣ,66270,66930,1.0
38,7270,ＳＵＢＡＲＵ,2441,2464,0.96
39,8750,第一生命ホールディングス,1650,1666,0.94
40,8591,オリックス,6230,6286,0.9
41,8802,三菱地所,4058,4094,0.89
42,8309,三井住友トラスト・ホールディングス,5614,5661,0.84
43,8316,三井住友フィナンシャルグループ,6006,6056,0.83
44,8002,丸紅,5271,5312,0.78
45,7751,キヤノン,4203,4230,0.64
46,7267,本田技研工業,1401,1408,0.54
47,5401,日本製鉄,554,556,0.49
48,4901,富士フイルムホールディングス,3181,3194,0.41
49,1925,大和ハウス工業,4416,4431,0.34
50,4519,中外製薬,8090,8117,0.33
51,7741,ＨＯＹＡ,26225,26300,0.29
52,1928,積水ハウス,3336,3344,0.24
53,6902,デンソー,1834,1837,0.14
54,4063,信越化学工業,7034,7041,0.1
55,8001,伊藤忠商事,1950,1951,0.08
56,8766,東京海上ホールディングス,7381,7387,0.08
57,4452,花王,5996,6000,0.07
58,6702,富士通,3307,3308,0.03
59,6701,日本電気,4105,4106,0.02
60,6201,豊田自動織機,20480,20480,0.0
61,9022,東海旅客鉄道,3553,3552,-0.03
62,4503,アステラス製薬,2270,2268,-0.09
63,4502,武田薬品工業,5109,5104,-0.1
64,9021,西日本旅客鉄道,2693,2688,-0.17
65,7182,ゆうちょ銀行,3104,3093,-0.35
66,8729,ソニーフィナンシャルグループ,142,142,-0.35
67,2503,キリンホールディングス,2720,2708,-0.44
68,9983,ファーストリテイリング,75510,75090,-0.56
69,2914,日本たばこ産業,6134,6097,-0.6
70,6861,キーエンス,79370,78860,-0.64
71,4661,オリエンタルランド,2140,2126,-0.68
72,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4245,4216,-0.68
73,8308,りそなホールディングス,2140,2124,-0.72
74,5020,ＥＮＥＯＳホールディングス,1300,1290,-0.81
75,8306,三菱ＵＦＪフィナンシャル・グループ,3091,3066,-0.81
76,9020,東日本旅客鉄道,3606,3570,-1.0
77,6098,リクルートホールディングス,9789,9688,-1.03
78,4578,大塚ホールディングス,11650,11525,-1.07
79,8604,野村ホールディングス,1287,1273,-1.09
80,6178,日本郵政,2116,2092,-1.16
81,3382,セブン＆アイ・ホールディングス,1860,1838,-1.24
82,9432,日本電信電話,153,151,-1.25
83,9101,日本郵船,5391,5321,-1.3
84,7832,バンダイナムコホールディングス,3704,3651,-1.43
85,7011,三菱重工業,3969,3908,-1.54
86,9104,商船三井,5650,5560,-1.59
87,8630,ＳＯＭＰＯホールディングス,5676,5575,-1.78
88,4307,野村総合研究所,4697,4612,-1.81
89,8411,みずほフィナンシャルグループ,7457,7304,-2.05
90,8031,三井物産,5580,5465,-2.06
91,8058,三菱商事,5432,5320,-2.06
92,7309,シマノ,16890,16535,-2.1
93,8113,ユニ・チャーム,942,921,-2.31
94,7974,任天堂,7240,7070,-2.35
95,9434,ソフトバンク,223,218,-2.42
96,4543,テルモ,2394,2335,-2.44
97,4689,ＬＩＮＥヤフー,409,398,-2.74
98,9433,ＫＤＤＩ,2710,2634,-2.77
99,7733,オリンパス,1888,1818,-3.68
100,2502,アサヒグループホールディングス,1564,1498,-4.19
101,8267,イオン,1480,1410,-4.76
