順位,コード,銘柄名,開始価格(2026/05/19),終了価格(2026/05/20),上昇率(%)
1,4578,大塚ホールディングス,11125,11405,2.52
2,8591,オリックス,5914,6052,2.33
3,4543,テルモ,2294,2342,2.11
4,7182,ゆうちょ銀行,3021,3075,1.79
5,9983,ファーストリテイリング,73650,74740,1.48
6,8411,みずほフィナンシャルグループ,6886,6982,1.39
7,2502,アサヒグループホールディングス,1580,1602,1.36
8,6857,アドバンテスト,25290,25625,1.32
9,8267,イオン,1500,1518,1.2
10,6178,日本郵政,2093,2110,0.81
11,8697,日本取引所グループ,1820,1834,0.8
12,9432,日本電信電話,155,156,0.77
13,9433,ＫＤＤＩ,2764,2780,0.58
14,4661,オリエンタルランド,2218,2230,0.54
15,6971,京セラ,2912,2921,0.33
16,4507,塩野義製薬,3028,3035,0.23
17,6201,豊田自動織機,20460,20490,0.15
18,8750,第一生命ホールディングス,1654,1656,0.12
19,7267,本田技研工業,1342,1343,0.04
20,4502,武田薬品工業,5255,5255,0.0
21,7733,オリンパス,1875,1872,-0.13
22,7201,日産自動車,357,357,-0.14
23,9101,日本郵船,5619,5610,-0.16
24,3382,セブン＆アイ・ホールディングス,1947,1944,-0.18
25,9735,セコム,6371,6358,-0.2
26,7974,任天堂,7519,7500,-0.25
27,6723,ルネサスエレクトロニクス,3509,3500,-0.26
28,6981,村田製作所,6180,6164,-0.26
29,4689,ＬＩＮＥヤフー,422,421,-0.31
30,9020,東日本旅客鉄道,3788,3775,-0.34
31,6146,ディスコ,61600,61340,-0.42
32,4519,中外製薬,7936,7899,-0.47
33,9104,商船三井,5824,5795,-0.5
34,2503,キリンホールディングス,2750,2736,-0.51
35,7203,トヨタ自動車,2957,2942,-0.51
36,6367,ダイキン工業,23730,23605,-0.53
37,7270,ＳＵＢＡＲＵ,2450,2437,-0.53
38,6501,日立製作所,4944,4908,-0.73
39,4901,富士フイルムホールディングス,3171,3143,-0.88
40,4503,アステラス製薬,2317,2295,-0.95
41,8316,三井住友フィナンシャルグループ,5942,5882,-1.01
42,7832,バンダイナムコホールディングス,3901,3860,-1.05
43,9202,ＡＮＡホールディングス,2746,2717,-1.06
44,9021,西日本旅客鉄道,2756,2727,-1.07
45,6920,レーザーテック,36060,35650,-1.14
46,4568,第一三共,2636,2606,-1.16
47,8802,三菱地所,4013,3966,-1.17
48,8031,三井物産,5875,5804,-1.21
49,8309,三井住友トラスト・ホールディングス,5715,5643,-1.26
50,9434,ソフトバンク,229,226,-1.26
51,6902,デンソー,1860,1836,-1.29
52,1925,大和ハウス工業,4544,4485,-1.3
53,4307,野村総合研究所,4800,4735,-1.35
54,6762,ＴＤＫ,2986,2943,-1.42
55,7936,アシックス,4433,4370,-1.42
56,7741,ＨＯＹＡ,26895,26500,-1.47
57,8058,三菱商事,5519,5436,-1.5
58,3407,旭化成,1700,1674,-1.56
59,9022,東海旅客鉄道,3609,3550,-1.63
60,2914,日本たばこ産業,6453,6346,-1.66
61,7309,シマノ,17175,16890,-1.66
62,8766,東京海上ホールディングス,7949,7817,-1.66
63,5401,日本製鉄,550,541,-1.69
64,8801,三井不動産,1534,1508,-1.69
65,5108,ブリヂストン,3379,3319,-1.78
66,8113,ユニ・チャーム,966,948,-1.8
67,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4503,4420,-1.84
68,1928,積水ハウス,3402,3338,-1.88
69,7751,キヤノン,4252,4171,-1.9
70,6098,リクルートホールディングス,9846,9653,-1.96
71,8604,野村ホールディングス,1276,1250,-2.0
72,6702,富士通,3332,3263,-2.07
73,2802,味の素,5178,5068,-2.12
74,4452,花王,6051,5919,-2.18
75,8035,東京エレクトロン,47160,46100,-2.25
76,8001,伊藤忠商事,1980,1935,-2.3
77,8308,りそなホールディングス,2078,2028,-2.38
78,6301,小松製作所,6346,6190,-2.46
79,7011,三菱重工業,4126,4024,-2.47
80,8306,三菱ＵＦＪフィナンシャル・グループ,3108,3030,-2.51
81,4063,信越化学工業,7032,6845,-2.66
82,6861,キーエンス,75000,72910,-2.79
83,8053,住友商事,7217,7011,-2.85
84,4188,三菱ケミカルグループ,1030,1001,-2.86
85,5802,住友電気工業,10840,10525,-2.91
86,6758,ソニーグループ,3720,3606,-3.06
87,8630,ＳＯＭＰＯホールディングス,6435,6238,-3.06
88,7269,スズキ,1810,1753,-3.15
89,8002,丸紅,5553,5374,-3.22
90,8729,ソニーフィナンシャルグループ,150,145,-3.27
91,5020,ＥＮＥＯＳホールディングス,1360,1314,-3.42
92,6273,ＳＭＣ,67120,64820,-3.43
93,6701,日本電気,4297,4140,-3.65
94,8015,豊田通商,7056,6763,-4.15
95,6752,パナソニック ホールディングス,3353,3207,-4.35
96,6954,ファナック,7662,7322,-4.44
97,6503,三菱電機,6020,5747,-4.53
98,6326,クボタ,2806,2662,-5.13
99,8830,住友不動産,3955,3748,-5.23
100,9984,ソフトバンクグループ,5361,5039,-6.01
101,5803,フジクラ,4695,4295,-8.52
