順位,コード,銘柄名,開始価格(2026/05/15),終了価格(2026/05/18),上昇率(%)
1,4543,テルモ,1922,2279,18.57
2,6098,リクルートホールディングス,7825,9122,16.58
3,4307,野村総合研究所,4332,4561,5.29
4,7182,ゆうちょ銀行,2829,2978,5.25
5,6178,日本郵政,1957,2054,4.96
6,6701,日本電気,4004,4162,3.95
7,5802,住友電気工業,10980,11380,3.64
8,7309,シマノ,17025,17410,2.26
9,8306,三菱ＵＦＪフィナンシャル・グループ,2929,2995,2.25
10,4568,第一三共,2574,2620,1.81
11,6752,パナソニック ホールディングス,3293,3348,1.67
12,6723,ルネサスエレクトロニクス,3647,3700,1.45
13,7733,オリンパス,1720,1744,1.4
14,4901,富士フイルムホールディングス,3110,3148,1.22
15,9101,日本郵船,5498,5558,1.09
16,3382,セブン＆アイ・ホールディングス,1862,1878,0.86
17,8766,東京海上ホールディングス,7568,7627,0.78
18,2914,日本たばこ産業,6301,6343,0.67
19,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4391,4420,0.66
20,4452,花王,5883,5916,0.56
21,6758,ソニーグループ,3576,3596,0.56
22,8630,ＳＯＭＰＯホールディングス,6100,6134,0.56
23,7011,三菱重工業,4080,4102,0.54
24,8316,三井住友フィナンシャルグループ,5702,5732,0.53
25,2502,アサヒグループホールディングス,1536,1544,0.49
26,6702,富士通,3217,3231,0.44
27,7974,任天堂,7151,7182,0.43
28,9432,日本電信電話,152,152,0.4
29,6981,村田製作所,6151,6171,0.33
30,9021,西日本旅客鉄道,2731,2736,0.16
31,6201,豊田自動織機,20425,20450,0.12
32,8591,オリックス,5772,5778,0.1
33,7751,キヤノン,4231,4232,0.02
34,9434,ソフトバンク,225,225,0.0
35,6501,日立製作所,4812,4808,-0.08
36,8750,第一生命ホールディングス,1618,1615,-0.19
37,9104,商船三井,5863,5851,-0.2
38,8113,ユニ・チャーム,936,932,-0.38
39,6861,キーエンス,77180,76830,-0.45
40,4578,大塚ホールディングス,11235,11180,-0.49
41,6762,ＴＤＫ,2993,2978,-0.52
42,4502,武田薬品工業,5277,5249,-0.53
43,8729,ソニーフィナンシャルグループ,147,146,-0.54
44,6920,レーザーテック,38410,38190,-0.57
45,9735,セコム,6163,6127,-0.58
46,4519,中外製薬,7938,7885,-0.67
47,6857,アドバンテスト,26360,26150,-0.8
48,2503,キリンホールディングス,2623,2602,-0.82
49,4188,三菱ケミカルグループ,1016,1008,-0.89
50,7741,ＨＯＹＡ,28005,27725,-1.0
51,4507,塩野義製薬,3080,3049,-1.01
52,9202,ＡＮＡホールディングス,2745,2717,-1.02
53,6503,三菱電機,6416,6350,-1.03
54,4503,アステラス製薬,2324,2300,-1.05
55,8308,りそなホールディングス,2042,2020,-1.08
56,4661,オリエンタルランド,2161,2136,-1.13
57,8697,日本取引所グループ,1768,1748,-1.13
58,1925,大和ハウス工業,4538,4483,-1.21
59,4063,信越化学工業,7105,7013,-1.29
60,9433,ＫＤＤＩ,2724,2688,-1.3
61,2802,味の素,5269,5193,-1.44
62,7936,アシックス,4506,4436,-1.55
63,6273,ＳＭＣ,67880,66780,-1.62
64,1928,積水ハウス,3396,3339,-1.68
65,5108,ブリヂストン,3387,3330,-1.68
66,6971,京セラ,2884,2834,-1.73
67,5401,日本製鉄,560,549,-1.95
68,8604,野村ホールディングス,1273,1248,-1.96
69,9983,ファーストリテイリング,71630,70190,-2.01
70,5020,ＥＮＥＯＳホールディングス,1386,1358,-2.02
71,8035,東京エレクトロン,50290,49260,-2.05
72,9022,東海旅客鉄道,3634,3557,-2.12
73,6146,ディスコ,64900,63500,-2.16
74,3407,旭化成,1728,1690,-2.2
75,9020,東日本旅客鉄道,3766,3682,-2.23
76,7832,バンダイナムコホールディングス,3709,3623,-2.32
77,4689,ＬＩＮＥヤフー,417,407,-2.37
78,6301,小松製作所,6483,6322,-2.48
79,9984,ソフトバンクグループ,5745,5593,-2.65
80,8801,三井不動産,1540,1498,-2.7
81,8309,三井住友トラスト・ホールディングス,5623,5464,-2.83
82,5803,フジクラ,5819,5653,-2.85
83,6954,ファナック,8228,7966,-3.18
84,8001,伊藤忠商事,2059,1993,-3.21
85,8053,住友商事,7510,7257,-3.37
86,8802,三菱地所,4137,3993,-3.48
87,8031,三井物産,6106,5883,-3.65
88,8002,丸紅,5856,5638,-3.72
89,6326,クボタ,2928,2810,-4.03
90,7269,スズキ,1844,1769,-4.04
91,7203,トヨタ自動車,3085,2954,-4.23
92,8015,豊田通商,7387,7064,-4.37
93,8267,イオン,1498,1421,-5.11
94,7201,日産自動車,375,356,-5.15
95,6367,ダイキン工業,25370,24020,-5.32
96,6902,デンソー,1944,1838,-5.43
97,8411,みずほフィナンシャルグループ,6912,6525,-5.6
98,8830,住友不動産,4232,3981,-5.93
99,8058,三菱商事,5849,5500,-5.97
100,7267,本田技研工業,1430,1342,-6.12
101,7270,ＳＵＢＡＲＵ,2568,2385,-7.11
