順位,コード,銘柄名,開始価格(2026/05/11),終了価格(2026/05/12),上昇率(%)
1,5803,フジクラ,6832,7624,11.59
2,8591,オリックス,5514,5986,8.56
3,4901,富士フイルムホールディングス,3055,3300,8.02
4,3407,旭化成,1532,1654,7.96
5,6723,ルネサスエレクトロニクス,3500,3750,7.14
6,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4024,4285,6.49
7,5020,ＥＮＥＯＳホールディングス,1305,1371,5.06
8,8058,三菱商事,5252,5500,4.72
9,9984,ソフトバンクグループ,5743,5987,4.25
10,5802,住友電気工業,11210,11650,3.93
11,8031,三井物産,5649,5868,3.88
12,4568,第一三共,2649,2738,3.36
13,6758,ソニーグループ,3372,3484,3.32
14,8001,伊藤忠商事,1983,2046,3.18
15,8053,住友商事,7206,7428,3.08
16,8308,りそなホールディングス,1998,2054,2.8
17,6273,ＳＭＣ,82320,84560,2.72
18,7936,アシックス,4769,4896,2.66
19,6178,日本郵政,1865,1911,2.47
20,6954,ファナック,7564,7750,2.46
21,7974,任天堂,7020,7179,2.26
22,8316,三井住友フィナンシャルグループ,5661,5789,2.26
23,6752,パナソニック ホールディングス,3334,3405,2.13
24,8015,豊田通商,6991,7130,1.99
25,6981,村田製作所,5960,6078,1.98
26,8309,三井住友トラスト・ホールディングス,5508,5613,1.91
27,8002,丸紅,5418,5520,1.88
28,7182,ゆうちょ銀行,2796,2842,1.61
29,8113,ユニ・チャーム,915,929,1.5
30,9020,東日本旅客鉄道,3639,3693,1.48
31,8830,住友不動産,4816,4886,1.45
32,8630,ＳＯＭＰＯホールディングス,5821,5893,1.24
33,8411,みずほフィナンシャルグループ,6890,6970,1.16
34,6326,クボタ,2839,2870,1.09
35,7309,シマノ,16515,16690,1.06
36,8306,三菱ＵＦＪフィナンシャル・グループ,2856,2886,1.03
37,1928,積水ハウス,3430,3459,0.85
38,6762,ＴＤＫ,2936,2961,0.85
39,8750,第一生命ホールディングス,1466,1479,0.85
40,9104,商船三井,5802,5846,0.76
41,6701,日本電気,4101,4130,0.71
42,9432,日本電信電話,148,149,0.67
43,8802,三菱地所,4489,4515,0.58
44,8604,野村ホールディングス,1228,1235,0.53
45,7751,キヤノン,4092,4111,0.46
46,6301,小松製作所,6615,6645,0.45
47,9433,ＫＤＤＩ,2520,2530,0.4
48,7267,本田技研工業,1251,1256,0.36
49,1925,大和ハウス工業,4770,4783,0.27
50,8801,三井不動産,1670,1674,0.24
51,7741,ＨＯＹＡ,27235,27285,0.18
52,8035,東京エレクトロン,52080,52160,0.15
53,4503,アステラス製薬,2325,2328,0.13
54,4502,武田薬品工業,5162,5168,0.12
55,4188,三菱ケミカルグループ,927,928,0.11
56,9022,東海旅客鉄道,3580,3582,0.06
57,2503,キリンホールディングス,2474,2475,0.04
58,6201,豊田自動織機,20425,20430,0.02
59,4578,大塚ホールディングス,10990,10990,0.0
60,6902,デンソー,1879,1878,-0.05
61,2502,アサヒグループホールディングス,1520,1519,-0.07
62,7832,バンダイナムコホールディングス,3653,3649,-0.11
63,7269,スズキ,1784,1781,-0.14
64,8766,東京海上ホールディングス,7150,7140,-0.14
65,7201,日産自動車,350,350,-0.2
66,6857,アドバンテスト,28780,28705,-0.26
67,5401,日本製鉄,561,559,-0.3
68,8729,ソニーフィナンシャルグループ,140,139,-0.36
69,6971,京セラ,2858,2848,-0.37
70,6501,日立製作所,4887,4868,-0.39
71,9735,セコム,5622,5589,-0.59
72,7733,オリンパス,1551,1540,-0.68
73,4063,信越化学工業,7574,7520,-0.71
74,5108,ブリヂストン,3298,3274,-0.73
75,6367,ダイキン工業,24290,24110,-0.74
76,6146,ディスコ,73380,72800,-0.79
77,4661,オリエンタルランド,2202,2182,-0.91
78,7203,トヨタ自動車,2870,2843,-0.94
79,8697,日本取引所グループ,1848,1829,-1.0
80,6702,富士通,3341,3307,-1.02
81,4452,花王,5871,5809,-1.06
82,2802,味の素,5499,5439,-1.09
83,4507,塩野義製薬,3207,3171,-1.12
84,9434,ソフトバンク,222,219,-1.13
85,6503,三菱電機,6447,6373,-1.15
86,3382,セブン＆アイ・ホールディングス,1901,1879,-1.16
87,7270,ＳＵＢＡＲＵ,2320,2288,-1.36
88,9202,ＡＮＡホールディングス,2828,2790,-1.38
89,6920,レーザーテック,44110,43490,-1.41
90,6098,リクルートホールディングス,7700,7573,-1.65
91,4307,野村総合研究所,4301,4228,-1.7
92,2914,日本たばこ産業,6164,6058,-1.72
93,4543,テルモ,1957,1922,-1.81
94,7011,三菱重工業,4384,4300,-1.92
95,4519,中外製薬,7953,7794,-2.0
96,8267,イオン,1532,1500,-2.09
97,9021,西日本旅客鉄道,2786,2714,-2.6
98,9101,日本郵船,5471,5301,-3.11
99,6861,キーエンス,82300,79260,-3.69
100,9983,ファーストリテイリング,75050,72220,-3.77
101,4689,ＬＩＮＥヤフー,449,410,-8.62
