順位,コード,銘柄名,開始価格(2026/04/30),終了価格(2026/05/01),上昇率(%)
1,8053,住友商事,5840,6840,17.12
2,8015,豊田通商,6101,6868,12.57
3,9020,東日本旅客鉄道,3388,3700,9.21
4,6861,キーエンス,71300,76460,7.24
5,8035,東京エレクトロン,44390,47450,6.89
6,8058,三菱商事,4990,5219,4.59
7,9202,ＡＮＡホールディングス,2602,2710,4.15
8,6367,ダイキン工業,21965,22855,4.05
9,9984,ソフトバンクグループ,5219,5424,3.93
10,6752,パナソニック ホールディングス,3203,3324,3.78
11,8309,三井住友トラスト・ホールディングス,5178,5328,2.9
12,8267,イオン,1510,1552,2.75
13,3382,セブン＆アイ・ホールディングス,1871,1918,2.54
14,8001,伊藤忠商事,1938,1987,2.53
15,4689,ＬＩＮＥヤフー,412,420,1.79
16,4519,中外製薬,8116,8245,1.59
17,4661,オリエンタルランド,2188,2223,1.58
18,7733,オリンパス,1546,1571,1.58
19,7309,シマノ,16415,16645,1.4
20,6326,クボタ,2553,2588,1.39
21,6971,京セラ,2710,2746,1.33
22,8729,ソニーフィナンシャルグループ,140,142,1.14
23,4568,第一三共,2588,2616,1.08
24,4307,野村総合研究所,4142,4183,0.99
25,9021,西日本旅客鉄道,2832,2857,0.9
26,7270,ＳＵＢＡＲＵ,2350,2370,0.85
27,6098,リクルートホールディングス,7303,7361,0.79
28,2503,キリンホールディングス,2480,2498,0.75
29,6902,デンソー,1882,1896,0.69
30,6920,レーザーテック,42690,42930,0.56
31,8316,三井住友フィナンシャルグループ,5512,5541,0.53
32,4452,花王,5834,5862,0.48
33,6758,ソニーグループ,3113,3127,0.45
34,8113,ユニ・チャーム,912,916,0.43
35,5020,ＥＮＥＯＳホールディングス,1320,1326,0.38
36,2914,日本たばこ産業,5865,5886,0.36
37,7269,スズキ,1748,1753,0.26
38,7751,キヤノン,4007,4017,0.25
39,1928,積水ハウス,3410,3417,0.21
40,2502,アサヒグループホールディングス,1548,1550,0.13
41,6201,豊田自動織機,20430,20425,-0.02
42,5401,日本製鉄,572,572,-0.07
43,8697,日本取引所グループ,1864,1862,-0.08
44,9735,セコム,5740,5730,-0.17
45,6723,ルネサスエレクトロニクス,3212,3205,-0.22
46,8411,みずほフィナンシャルグループ,6722,6704,-0.27
47,9104,商船三井,5935,5917,-0.3
48,7267,本田技研工業,1266,1262,-0.32
49,9432,日本電信電話,152,152,-0.33
50,6981,村田製作所,5156,5138,-0.35
51,4543,テルモ,1997,1989,-0.4
52,7832,バンダイナムコホールディングス,3623,3608,-0.41
53,4901,富士フイルムホールディングス,2890,2876,-0.5
54,1925,大和ハウス工業,4788,4763,-0.52
55,4502,武田薬品工業,5270,5239,-0.59
56,8308,りそなホールディングス,1938,1927,-0.59
57,9434,ソフトバンク,222,221,-0.59
58,6178,日本郵政,1823,1812,-0.63
59,7011,三菱重工業,4615,4586,-0.63
60,6301,小松製作所,6557,6514,-0.66
61,8306,三菱ＵＦＪフィナンシャル・グループ,2817,2798,-0.67
62,8801,三井不動産,1704,1693,-0.67
63,3407,旭化成,1535,1524,-0.68
64,9101,日本郵船,5669,5629,-0.71
65,7203,トヨタ自動車,3023,3000,-0.76
66,6954,ファナック,6875,6820,-0.8
67,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4034,3996,-0.94
68,9983,ファーストリテイリング,73590,72890,-0.95
69,5108,ブリヂストン,3265,3231,-1.04
70,4503,アステラス製薬,2232,2207,-1.12
71,6273,ＳＭＣ,76080,75230,-1.12
72,8802,三菱地所,4434,4383,-1.15
73,7974,任天堂,7687,7597,-1.17
74,8750,第一生命ホールディングス,1440,1423,-1.18
75,7182,ゆうちょ銀行,2689,2656,-1.23
76,8591,オリックス,5275,5209,-1.25
77,4507,塩野義製薬,3170,3128,-1.32
78,9433,ＫＤＤＩ,2582,2548,-1.34
79,7201,日産自動車,356,351,-1.49
80,4188,三菱ケミカルグループ,912,898,-1.5
81,8766,東京海上ホールディングス,7202,7093,-1.51
82,6857,アドバンテスト,28260,27815,-1.57
83,4578,大塚ホールディングス,11400,11220,-1.58
84,8630,ＳＯＭＰＯホールディングス,5797,5705,-1.59
85,6701,日本電気,4101,4035,-1.61
86,6501,日立製作所,4882,4795,-1.78
87,4063,信越化学工業,7246,7104,-1.96
88,7936,アシックス,4432,4341,-2.05
89,8031,三井物産,5896,5765,-2.22
90,8830,住友不動産,4843,4735,-2.23
91,6146,ディスコ,74010,72250,-2.38
92,6503,三菱電機,6231,6071,-2.57
93,5803,フジクラ,5971,5808,-2.73
94,5802,住友電気工業,10190,9900,-2.85
95,8604,野村ホールディングス,1256,1220,-2.9
96,6702,富士通,3180,3075,-3.3
97,9022,東海旅客鉄道,3744,3611,-3.55
98,6762,ＴＤＫ,2890,2776,-3.98
99,2802,味の素,5090,4882,-4.09
100,7741,ＨＯＹＡ,29100,27830,-4.36
101,8002,丸紅,6072,5755,-5.22
