順位,コード,銘柄名,開始価格(2026/05/25),終了価格(2026/05/26),上昇率(%)
1,9984,ソフトバンクグループ,7070,7841,10.91
2,6723,ルネサスエレクトロニクス,4297,4589,6.8
3,8630,ＳＯＭＰＯホールディングス,5575,5742,3.0
4,4188,三菱ケミカルグループ,1090,1118,2.66
5,6301,小松製作所,6385,6530,2.27
6,8830,住友不動産,3869,3956,2.25
7,6981,村田製作所,7928,8077,1.88
8,6702,富士通,3308,3370,1.87
9,2503,キリンホールディングス,2708,2753,1.64
10,7201,日産自動車,374,380,1.52
11,4661,オリエンタルランド,2126,2156,1.41
12,8801,三井不動産,1523,1544,1.41
13,6098,リクルートホールディングス,9688,9824,1.4
14,6971,京セラ,3106,3146,1.29
15,8267,イオン,1410,1428,1.28
16,8591,オリックス,6286,6362,1.21
17,6752,パナソニック ホールディングス,3566,3607,1.15
18,8802,三菱地所,4094,4133,0.95
19,7011,三菱重工業,3908,3944,0.92
20,4689,ＬＩＮＥヤフー,398,401,0.75
21,8411,みずほフィナンシャルグループ,7304,7359,0.75
22,6902,デンソー,1837,1850,0.73
23,8002,丸紅,5312,5348,0.68
24,9983,ファーストリテイリング,75090,75510,0.56
25,9735,セコム,6479,6514,0.54
26,7269,スズキ,1911,1921,0.52
27,9202,ＡＮＡホールディングス,2874,2890,0.52
28,2914,日本たばこ産業,6097,6119,0.36
29,5108,ブリヂストン,3349,3361,0.36
30,8750,第一生命ホールディングス,1666,1672,0.33
31,5401,日本製鉄,556,558,0.23
32,2502,アサヒグループホールディングス,1498,1501,0.2
33,4568,第一三共,2700,2706,0.2
34,7309,シマノ,16535,16565,0.18
35,6701,日本電気,4106,4113,0.17
36,8316,三井住友フィナンシャルグループ,6056,6065,0.15
37,3382,セブン＆アイ・ホールディングス,1838,1839,0.08
38,7270,ＳＵＢＡＲＵ,2464,2466,0.06
39,6273,ＳＭＣ,66930,66960,0.04
40,6501,日立製作所,5054,5056,0.04
41,1928,積水ハウス,3344,3345,0.03
42,8309,三井住友トラスト・ホールディングス,5661,5661,0.0
43,8729,ソニーフィナンシャルグループ,142,142,0.0
44,8053,住友商事,7361,7360,-0.01
45,4543,テルモ,2335,2334,-0.02
46,6201,豊田自動織機,20480,20470,-0.05
47,7267,本田技研工業,1408,1407,-0.11
48,9104,商船三井,5560,5554,-0.11
49,7203,トヨタ自動車,3026,3022,-0.13
50,7974,任天堂,7070,7060,-0.14
51,9022,東海旅客鉄道,3552,3547,-0.14
52,5020,ＥＮＥＯＳホールディングス,1290,1288,-0.16
53,8306,三菱ＵＦＪフィナンシャル・グループ,3066,3061,-0.16
54,4063,信越化学工業,7041,7022,-0.27
55,8604,野村ホールディングス,1273,1269,-0.31
56,6503,三菱電機,6560,6539,-0.32
57,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4216,4202,-0.33
58,6954,ファナック,8428,8399,-0.34
59,8766,東京海上ホールディングス,7387,7356,-0.42
60,7751,キヤノン,4230,4209,-0.5
61,9434,ソフトバンク,218,216,-0.51
62,8697,日本取引所グループ,2000,1990,-0.52
63,9020,東日本旅客鉄道,3570,3551,-0.53
64,6178,日本郵政,2092,2080,-0.55
65,7832,バンダイナムコホールディングス,3651,3631,-0.55
66,1925,大和ハウス工業,4431,4402,-0.65
67,9432,日本電信電話,151,150,-0.66
68,9433,ＫＤＤＩ,2634,2616,-0.68
69,4578,大塚ホールディングス,11525,11435,-0.78
70,4502,武田薬品工業,5104,5060,-0.86
71,4452,花王,6000,5941,-0.98
72,4307,野村総合研究所,4612,4564,-1.04
73,3407,旭化成,1770,1750,-1.1
74,4507,塩野義製薬,3029,2992,-1.21
75,4901,富士フイルムホールディングス,3194,3155,-1.22
76,7741,ＨＯＹＡ,26300,25970,-1.25
77,9101,日本郵船,5321,5254,-1.26
78,8113,ユニ・チャーム,921,908,-1.36
79,6758,ソニーグループ,3598,3548,-1.39
80,7182,ゆうちょ銀行,3093,3050,-1.39
81,8015,豊田通商,7096,6996,-1.41
82,8035,東京エレクトロン,52180,51420,-1.46
83,4503,アステラス製薬,2268,2234,-1.5
84,8031,三井物産,5465,5381,-1.54
85,6326,クボタ,2748,2700,-1.75
86,8001,伊藤忠商事,1951,1915,-1.85
87,8308,りそなホールディングス,2124,2084,-1.86
88,7936,アシックス,4650,4554,-2.06
89,9021,西日本旅客鉄道,2688,2630,-2.18
90,6861,キーエンス,78860,77120,-2.21
91,7733,オリンパス,1818,1776,-2.34
92,6762,ＴＤＫ,3715,3627,-2.37
93,2802,味の素,5475,5344,-2.39
94,8058,三菱商事,5320,5186,-2.52
95,5802,住友電気工業,12265,11940,-2.65
96,6920,レーザーテック,43020,41680,-3.11
97,5803,フジクラ,5550,5329,-3.98
98,6146,ディスコ,69780,66910,-4.11
99,6367,ダイキン工業,24470,23135,-5.46
100,6857,アドバンテスト,27755,26075,-6.05
101,4519,中外製薬,8117,7586,-6.54
