順位,コード,銘柄名,開始価格(2026/04/24),終了価格(2026/04/27),上昇率(%)
1,6524,湖北工業,5020,5650,12.55
2,6323,ローツェ,3638,3996,9.84
3,6857,アドバンテスト,29440,31500,7.0
4,4369,トリケミカル,3200,3420,6.88
5,6965,浜松ホトニクス,1922,2054,6.87
6,6504,富士電機,12210,13040,6.8
7,6871,日本マイクロニクス,12540,13360,6.54
8,5985,サンコール,1600,1700,6.25
9,4425,Kudan,2552,2710,6.19
10,3436,SUMCO,2242,2380,6.13
11,6146,ディスコ,71700,76030,6.04
12,6315,TOWA,2599,2742,5.5
13,5803,フジクラ,6037,6347,5.14
14,5016,JX金属,4625,4860,5.08
15,6613,QDレーザ,1465,1533,4.64
16,6754,アンリツ,3594,3755,4.48
17,7713,シグマ光機,1903,1988,4.48
18,5333,ＮＧＫ,4428,4613,4.18
19,4476,AI CROSS,1056,1095,3.69
20,6702,富士通,3696,3825,3.49
21,6728,アルバック,9773,10100,3.35
22,4043,トクヤマ,3783,3897,3.01
23,4980,デクセリアルズ（テクセリアルズ）,2440,2508,2.75
24,8035,東京エレクトロン,45850,47100,2.73
25,6361,荏原製作所,5304,5446,2.68
26,4063,信越化学工業,6768,6949,2.67
27,6526,ソシオネクスト,2046,2100,2.61
28,285A,キオクシアホールディングス,34580,35470,2.57
29,6701,NEC,4513,4625,2.48
30,6501,日立,5229,5356,2.43
31,6616,トレックス・セミコンダクター,1891,1937,2.43
32,3132,マクニカHD,2536,2592,2.21
33,6254,野村マイクロ・サイエンス,3660,3735,2.05
34,6721,ウインテスト,102,104,1.96
35,5805,SWCC,15500,15800,1.94
36,7735,SCREENホールディングス,10610,10805,1.84
37,4004,レゾナックHD,13770,13990,1.6
38,6920,レーザーテック,45060,45770,1.58
39,6707,サンケン電気,9706,9846,1.44
40,6525,KOUSAI ELECTRIC,6646,6731,1.28
41,7741,HOYA,28590,28940,1.22
42,4401,ADEKA,3813,3857,1.15
43,8154,加賀電子,4200,4245,1.07
44,6762,TDK,2690,2718,1.06
45,4203,住友ベークライト,5235,5290,1.05
46,7911,TOPPANHD,4582,4630,1.05
47,3993,PKSH Technology,3280,3310,0.91
48,6503,三菱電,5999,6048,0.82
49,6976,太陽誘電,6508,6543,0.54
50,6167,冨士ダイス,1000,1005,0.5
51,5802,住友電気工業,10015,10060,0.45
52,7731,ニコン,1674,1680,0.33
53,6777,santec,28700,28680,-0.07
54,9432,NTT,152,151,-0.2
55,4488,AI inside,2660,2654,-0.23
56,5232,住阪セメ,3934,3924,-0.25
57,6981,村田製作所,4936,4916,-0.41
58,7729,東京精密,17430,17350,-0.46
59,4186,東京応化工業,9069,9026,-0.47
60,5819,カナレ電気,1895,1885,-0.53
61,6723,ルネサス,3141,3124,-0.54
62,4021,日産化学,6660,6620,-0.6
63,6758,ソニーグループ,3208,3188,-0.62
64,5801,古河電気工業,42950,42620,-0.77
65,4272,日本化薬,1742,1726,-0.92
66,4626,太陽ホールディングス,4800,4753,-0.98
67,6834,精工技研,30600,30300,-0.98
68,6806,ヒロセ電,21775,21495,-1.29
69,7912,大日印,2978,2933,-1.51
70,4180,Appier Group,906,892,-1.55
71,6971,京セラ,2710,2658,-1.92
72,9984,ソフトバンクグループ,5963,5844,-2.0
73,6941,山一電機,10450,10110,-3.25
74,6890,フェローテック,7480,7230,-3.34
75,6963,ローム,3765,3419,-9.19
