順位,コード,銘柄名,開始価格(2026/04/30),終了価格(2026/05/01),上昇率(%)
1,7911,TOPPANHD,4650,5080,9.25
2,6890,フェローテック,7530,8090,7.44
3,8035,東京エレクトロン,44390,47450,6.89
4,4043,トクヤマ,3998,4184,4.65
5,6315,TOWA,2920,3050,4.45
6,7731,ニコン,1727,1800,4.23
7,9984,ソフトバンクグループ,5219,5424,3.93
8,6526,ソシオネクスト,1859,1928,3.68
9,6707,サンケン電気,9350,9663,3.35
10,5333,ＮＧＫ,4961,5121,3.23
11,6963,ローム,3398,3487,2.62
12,6524,湖北工業,5460,5600,2.56
13,3436,SUMCO,2476,2533,2.3
14,6525,KOUSAI ELECTRIC,6378,6500,1.91
15,5985,サンコール,1688,1718,1.78
16,4980,デクセリアルズ（テクセリアルズ）,2442,2481,1.62
17,7735,SCREENホールディングス,10230,10390,1.56
18,6971,京セラ,2710,2746,1.33
19,7729,東京精密,17130,17355,1.31
20,4180,Appier Group,886,897,1.24
21,6721,ウインテスト,105,106,0.95
22,6323,ローツェ,3670,3704,0.93
23,6167,冨士ダイス,992,1000,0.81
24,6504,富士電機,13085,13180,0.73
25,6728,アルバック,9762,9822,0.61
26,6920,レーザーテック,42690,42930,0.56
27,6254,野村マイクロ・サイエンス,3655,3675,0.55
28,6758,ソニーグループ,3113,3127,0.45
29,5232,住阪セメ,3899,3910,0.28
30,6616,トレックス・セミコンダクター,1973,1976,0.15
31,6613,QDレーザ,1419,1419,0.0
32,6834,精工技研,28950,28950,0.0
33,8154,加賀電子,4210,4210,0.0
34,4272,日本化薬,1728,1725,-0.14
35,6723,ルネサス,3212,3205,-0.22
36,4626,太陽ホールディングス,4829,4817,-0.25
37,7912,大日印,2968,2960,-0.25
38,9432,NTT,152,152,-0.33
39,6981,村田製作所,5156,5138,-0.35
40,4021,日産化学,6775,6750,-0.37
41,6777,santec,27940,27830,-0.39
42,5016,JX金属,4790,4770,-0.42
43,7713,シグマ光機,1924,1914,-0.57
44,3993,PKSH Technology,3300,3280,-0.61
45,6965,浜松ホトニクス,2023,2006,-0.84
46,6806,ヒロセ電,21825,21620,-0.94
47,4004,レゾナックHD,14215,14045,-1.2
48,4203,住友ベークライト,5500,5433,-1.22
49,4425,Kudan,2579,2544,-1.36
50,6857,アドバンテスト,28260,27815,-1.57
51,6361,荏原製作所,5327,5242,-1.6
52,6701,NEC,4101,4035,-1.61
53,4401,ADEKA,3928,3864,-1.63
54,4186,東京応化工業,9086,8931,-1.71
55,6501,日立,4882,4795,-1.78
56,5819,カナレ電気,1821,1788,-1.81
57,4063,信越化学工業,7246,7104,-1.96
58,3132,マクニカHD,2648,2594,-2.06
59,4488,AI inside,2676,2613,-2.35
60,6146,ディスコ,74010,72250,-2.38
61,6503,三菱電,6231,6071,-2.57
62,6941,山一電機,10390,10120,-2.6
63,5803,フジクラ,5971,5808,-2.73
64,5801,古河電気工業,42370,41190,-2.78
65,5802,住友電気工業,10190,9900,-2.85
66,285A,キオクシアホールディングス,37560,36410,-3.06
67,6871,日本マイクロニクス,12960,12560,-3.09
68,5805,SWCC,15840,15320,-3.28
69,6702,富士通,3180,3075,-3.3
70,4369,トリケミカル,3200,3085,-3.59
71,6976,太陽誘電,6392,6143,-3.9
72,6762,TDK,2890,2776,-3.98
73,7741,HOYA,29100,27830,-4.36
74,6754,アンリツ,4039,3858,-4.48
75,4476,AI CROSS,1180,1116,-5.42
