順位,コード,銘柄名,開始価格(2026/05/21),終了価格(2026/05/22),上昇率(%)
1,6613,QDレーザ,2600,3100,19.23
2,5985,サンコール,1590,1842,15.85
3,6834,精工技研,25190,28750,14.13
4,9984,ソフトバンクグループ,6039,6757,11.89
5,6976,太陽誘電,8145,9102,11.75
6,5802,住友電気工業,10730,11820,10.16
7,5801,古河電気工業,49280,53650,8.87
8,6965,浜松ホトニクス,2674,2910,8.86
9,4425,Kudan,1917,2084,8.71
10,6254,野村マイクロ・サイエンス,4585,4980,8.62
11,7713,シグマ光機,1998,2163,8.28
12,6361,荏原製作所,5036,5452,8.26
13,6315,TOWA,2680,2893,7.95
14,5803,フジクラ,4501,4850,7.75
15,6762,TDK,3141,3370,7.29
16,6723,ルネサス,3785,4044,6.84
17,6504,富士電機,15330,16280,6.2
18,6981,村田製作所,6727,7130,5.99
19,3993,PKSH Technology,2753,2895,5.16
20,6524,湖北工業,6280,6600,5.1
21,4186,東京応化工業,10570,11105,5.06
22,4369,トリケミカル,3335,3500,4.95
23,6777,santec,26020,27250,4.73
24,6963,ローム,4397,4595,4.5
25,6941,山一電機,7930,8280,4.41
26,5805,SWCC,13120,13690,4.34
27,4004,レゾナックHD,17310,18010,4.04
28,6503,三菱電,6069,6301,3.82
29,285A,キオクシアホールディングス,55340,57400,3.72
30,6323,ローツェ,3752,3887,3.6
31,6526,ソシオネクスト,2637,2724,3.28
32,3436,SUMCO,3078,3177,3.22
33,7729,東京精密,16395,16915,3.17
34,6616,トレックス・セミコンダクター,2525,2604,3.13
35,6525,KOUSAI ELECTRIC,7005,7221,3.08
36,6754,アンリツ,4468,4601,2.98
37,5333,ＮＧＫ,5700,5861,2.82
38,4063,信越化学工業,6857,7034,2.58
39,4488,AI inside,2295,2354,2.57
40,6890,フェローテック,8720,8930,2.41
41,4180,Appier Group,950,971,2.21
42,4203,住友ベークライト,6619,6765,2.21
43,6728,アルバック,9199,9396,2.14
44,8035,東京エレクトロン,48800,49830,2.11
45,3132,マクニカHD,3161,3227,2.09
46,4476,AI CROSS,1009,1029,1.98
47,6971,京セラ,2940,2997,1.94
48,4021,日産化学,7119,7245,1.77
49,5016,JX金属,3928,3994,1.68
50,5232,住阪セメ,4836,4911,1.55
51,6702,富士通,3259,3307,1.47
52,4043,トクヤマ,4381,4444,1.44
53,6167,冨士ダイス,978,992,1.43
54,8154,加賀電子,4140,4195,1.33
55,6806,ヒロセ電,23485,23755,1.15
56,4401,ADEKA,4086,4125,0.95
57,6871,日本マイクロニクス,15040,15180,0.93
58,4272,日本化薬,2072,2090,0.87
59,4626,太陽ホールディングス,4836,4865,0.6
60,6857,アドバンテスト,26745,26845,0.37
61,7735,SCREENホールディングス,10730,10765,0.33
62,6146,ディスコ,65650,65860,0.32
63,5819,カナレ電気,1781,1786,0.28
64,4980,デクセリアルズ（テクセリアルズ）,4085,4093,0.2
65,6920,レーザーテック,38060,38130,0.18
66,7731,ニコン,1966,1964,-0.05
67,6701,NEC,4125,4105,-0.48
68,7911,TOPPANHD,4442,4413,-0.65
69,9432,NTT,154,153,-0.72
70,6707,サンケン電気,9367,9291,-0.81
71,6758,ソニーグループ,3554,3525,-0.82
72,6721,ウインテスト,94,93,-1.06
73,7741,HOYA,26580,26225,-1.34
74,6501,日立,5123,5002,-2.36
75,7912,大日印,2738,2644,-3.45
