順位,コード,銘柄名,開始価格(2026/05/12),終了価格(2026/05/13),上昇率(%)
1,4272,日本化薬,1780,2180,22.47
2,5801,古河電気工業,50430,58130,15.27
3,5232,住阪セメ,4131,4613,11.67
4,5802,住友電気工業,11650,12775,9.66
5,285A,キオクシアホールディングス,46100,50500,9.54
6,6777,santec,31000,33000,6.45
7,3993,PKSH Technology,3185,3375,5.97
8,6834,精工技研,33500,35400,5.67
9,6758,ソニーグループ,3484,3660,5.05
10,3132,マクニカHD,3061,3194,4.34
11,6754,アンリツ,4016,4189,4.31
12,6167,冨士ダイス,1014,1056,4.14
13,5805,SWCC,18340,19030,3.76
14,6504,富士電機,14925,15470,3.65
15,5803,フジクラ,7624,7855,3.03
16,7912,大日印,3180,3264,2.64
17,4401,ADEKA,4030,4133,2.56
18,4043,トクヤマ,4593,4700,2.33
19,5333,ＮＧＫ,5614,5731,2.08
20,6941,山一電機,10960,11180,2.01
21,7911,TOPPANHD,5442,5546,1.91
22,6503,三菱電,6373,6468,1.49
23,6702,富士通,3307,3356,1.48
24,6701,NEC,4130,4190,1.45
25,7741,HOYA,27285,27680,1.45
26,4021,日産化学,7100,7194,1.32
27,6971,京セラ,2848,2882,1.19
28,6806,ヒロセ電,24230,24505,1.13
29,4488,AI inside,2601,2623,0.85
30,6963,ローム,3967,4000,0.83
31,4369,トリケミカル,3485,3510,0.72
32,6976,太陽誘電,6502,6544,0.65
33,6315,TOWA,2675,2688,0.49
34,9984,ソフトバンクグループ,5987,6012,0.42
35,9432,NTT,149,150,0.4
36,6981,村田製作所,6078,6089,0.18
37,5819,カナレ電気,1811,1814,0.17
38,6146,ディスコ,72800,72840,0.05
39,4004,レゾナックHD,17815,17815,0.0
40,6524,湖北工業,6760,6760,0.0
41,4180,Appier Group,1002,1001,-0.1
42,8154,加賀電子,4385,4365,-0.46
43,4203,住友ベークライト,6691,6658,-0.49
44,7713,シグマ光機,2075,2062,-0.62
45,6965,浜松ホトニクス,2177,2162,-0.67
46,7731,ニコン,2160,2142,-0.83
47,6871,日本マイクロニクス,14640,14500,-0.96
48,6616,トレックス・セミコンダクター,2343,2320,-0.98
49,4186,東京応化工業,11395,11265,-1.14
50,4980,デクセリアルズ（テクセリアルズ）,2681,2648,-1.21
51,6323,ローツェ,3995,3946,-1.23
52,6526,ソシオネクスト,2265,2235,-1.32
53,4063,信越化学工業,7520,7417,-1.37
54,4425,Kudan,2967,2925,-1.42
55,6857,アドバンテスト,28705,28290,-1.45
56,6762,TDK,2961,2916,-1.5
57,7729,東京精密,18985,18690,-1.55
58,8035,東京エレクトロン,52160,51340,-1.57
59,4476,AI CROSS,1135,1117,-1.59
60,6361,荏原製作所,5841,5740,-1.73
61,7735,SCREENホールディングス,11430,11215,-1.88
62,6721,ウインテスト,104,102,-1.92
63,6890,フェローテック,9620,9430,-1.98
64,6920,レーザーテック,43490,42490,-2.3
65,6613,QDレーザ,1680,1641,-2.32
66,5016,JX金属,4762,4651,-2.33
67,6501,日立,4868,4750,-2.42
68,4626,太陽ホールディングス,4924,4773,-3.07
69,6254,野村マイクロ・サイエンス,4490,4325,-3.67
70,6723,ルネサス,3750,3575,-4.67
71,6707,サンケン電気,9238,8687,-5.96
72,3436,SUMCO,3760,3505,-6.78
73,6728,アルバック,11320,10440,-7.77
74,5985,サンコール,2085,1917,-8.06
75,6525,KOUSAI ELECTRIC,7078,6170,-12.83
