順位,コード,銘柄名,開始価格(2026/05/26),終了価格(2026/05/27),上昇率(%)
1,6525,KOUSAI ELECTRIC,7161,7770,8.5
2,4063,信越化学工業,7022,7406,5.47
3,6707,サンケン電気,8903,9350,5.02
4,7741,HOYA,25970,27195,4.72
5,7735,SCREENホールディングス,10715,11220,4.71
6,6702,富士通,3370,3512,4.21
7,6857,アドバンテスト,26075,27130,4.05
8,6941,山一電機,8380,8610,2.74
9,3993,PKSH Technology,2786,2858,2.58
10,8035,東京エレクトロン,51420,52500,2.1
11,5232,住阪セメ,5249,5353,1.98
12,7729,東京精密,17445,17705,1.49
13,4488,AI inside,2325,2358,1.42
14,5805,SWCC,14110,14300,1.35
15,8154,加賀電子,4180,4235,1.32
16,6728,アルバック,9587,9713,1.31
17,4626,太陽ホールディングス,4880,4934,1.11
18,6146,ディスコ,66910,67630,1.08
19,4180,Appier Group,921,929,0.87
20,9432,NTT,150,151,0.87
21,4021,日産化学,7372,7432,0.81
22,6701,NEC,4113,4146,0.8
23,4043,トクヤマ,4891,4929,0.78
24,5802,住友電気工業,11940,12015,0.63
25,6167,冨士ダイス,1008,1012,0.4
26,4004,レゾナックHD,19070,19100,0.16
27,4369,トリケミカル,3745,3750,0.13
28,4476,AI CROSS,1022,1022,0.0
29,6315,TOWA,3070,3070,0.0
30,7713,シグマ光機,2183,2183,0.0
31,6806,ヒロセ電,24775,24735,-0.16
32,6963,ローム,5136,5120,-0.31
33,6920,レーザーテック,41680,41530,-0.36
34,4272,日本化薬,2166,2154,-0.51
35,6762,TDK,3627,3608,-0.52
36,6971,京セラ,3146,3129,-0.54
37,6503,三菱電,6539,6500,-0.6
38,6758,ソニーグループ,3548,3525,-0.65
39,6323,ローツェ,3893,3867,-0.67
40,6526,ソシオネクスト,2844,2820,-0.83
41,5819,カナレ電気,1791,1776,-0.84
42,7912,大日印,2734,2711,-0.86
43,4203,住友ベークライト,6786,6720,-0.97
44,6721,ウインテスト,87,86,-1.15
45,6777,santec,25360,25060,-1.18
46,6754,アンリツ,4670,4614,-1.2
47,4186,東京応化工業,11170,11030,-1.25
48,4401,ADEKA,4264,4185,-1.85
49,6501,日立,5056,4960,-1.9
50,6616,トレックス・セミコンダクター,2587,2536,-1.97
51,3436,SUMCO,3354,3285,-2.06
52,7731,ニコン,1954,1911,-2.2
53,6723,ルネサス,4589,4474,-2.51
54,7911,TOPPANHD,4764,4632,-2.77
55,6871,日本マイクロニクス,16110,15660,-2.79
56,6976,太陽誘電,11445,11120,-2.84
57,6361,荏原製作所,5642,5472,-3.01
58,3132,マクニカHD,3146,3050,-3.05
59,285A,キオクシアホールディングス,62460,60550,-3.06
60,6981,村田製作所,8077,7820,-3.18
61,6524,湖北工業,6420,6210,-3.27
62,6890,フェローテック,8820,8530,-3.29
63,5803,フジクラ,5329,5140,-3.55
64,4425,Kudan,1953,1881,-3.69
65,4980,デクセリアルズ（テクセリアルズ）,4218,4052,-3.94
66,5016,JX金属,4195,4022,-4.12
67,5333,ＮＧＫ,6336,6069,-4.21
68,6834,精工技研,28850,27500,-4.68
69,5985,サンコール,1883,1779,-5.52
70,6504,富士電機,17275,16315,-5.56
71,6254,野村マイクロ・サイエンス,4980,4695,-5.72
72,5801,古河電気工業,60140,56110,-6.7
73,9984,ソフトバンクグループ,7841,7272,-7.26
74,6965,浜松ホトニクス,2932,2700,-7.93
75,6613,QDレーザ,3320,2620,-21.08
