順位,コード,銘柄名,開始価格(2026/05/25),終了価格(2026/05/26),上昇率(%)
1,9984,ソフトバンクグループ,7070,7841,10.91
2,6976,太陽誘電,10605,11445,7.92
3,6723,ルネサス,4297,4589,6.8
4,6315,TOWA,2898,3070,5.94
5,6871,日本マイクロニクス,15330,16110,5.09
6,4043,トクヤマ,4696,4891,4.15
7,6613,QDレーザ,3190,3320,4.08
8,5801,古河電気工業,58080,60140,3.55
9,6963,ローム,5030,5136,2.11
10,5333,ＮＧＫ,6210,6336,2.03
11,6981,村田製作所,7928,8077,1.88
12,6702,富士通,3308,3370,1.87
13,7912,大日印,2684,2734,1.86
14,6616,トレックス・セミコンダクター,2544,2587,1.69
15,6806,ヒロセ電,24405,24775,1.52
16,6971,京セラ,3106,3146,1.29
17,6167,冨士ダイス,997,1008,1.1
18,4021,日産化学,7296,7372,1.04
19,6504,富士電機,17100,17275,1.02
20,4272,日本化薬,2146,2166,0.93
21,4476,AI CROSS,1013,1022,0.89
22,4401,ADEKA,4238,4264,0.61
23,5232,住阪セメ,5221,5249,0.54
24,5819,カナレ電気,1788,1791,0.17
25,6701,NEC,4106,4113,0.17
26,6501,日立,5054,5056,0.04
27,4203,住友ベークライト,6795,6786,-0.13
28,4626,太陽ホールディングス,4890,4880,-0.2
29,4063,信越化学工業,7041,7022,-0.27
30,6503,三菱電,6560,6539,-0.32
31,4369,トリケミカル,3765,3745,-0.53
32,7911,TOPPANHD,4790,4764,-0.54
33,9432,NTT,151,150,-0.66
34,6361,荏原製作所,5693,5642,-0.9
35,8154,加賀電子,4225,4180,-1.07
36,6721,ウインテスト,88,87,-1.14
37,6728,アルバック,9699,9587,-1.15
38,7741,HOYA,26300,25970,-1.25
39,4180,Appier Group,933,921,-1.29
40,6754,アンリツ,4732,4670,-1.31
41,6965,浜松ホトニクス,2974,2932,-1.38
42,6758,ソニーグループ,3598,3548,-1.39
43,8035,東京エレクトロン,52180,51420,-1.46
44,5016,JX金属,4261,4195,-1.55
45,4488,AI inside,2368,2325,-1.82
46,6526,ソシオネクスト,2897,2844,-1.83
47,3132,マクニカHD,3206,3146,-1.87
48,4004,レゾナックHD,19450,19070,-1.95
49,3993,PKSH Technology,2846,2786,-2.11
50,3436,SUMCO,3427,3354,-2.13
51,7713,シグマ光機,2232,2183,-2.17
52,5805,SWCC,14440,14110,-2.29
53,6762,TDK,3715,3627,-2.37
54,6941,山一電機,8590,8380,-2.44
55,5802,住友電気工業,12265,11940,-2.65
56,6323,ローツェ,4000,3893,-2.67
57,7735,SCREENホールディングス,11035,10715,-2.9
58,6254,野村マイクロ・サイエンス,5130,4980,-2.92
59,6920,レーザーテック,43020,41680,-3.11
60,4980,デクセリアルズ（テクセリアルズ）,4365,4218,-3.37
61,6834,精工技研,29870,28850,-3.41
62,7731,ニコン,2026,1954,-3.53
63,4186,東京応化工業,11620,11170,-3.87
64,5803,フジクラ,5550,5329,-3.98
65,6146,ディスコ,69780,66910,-4.11
66,6524,湖北工業,6700,6420,-4.18
67,6890,フェローテック,9220,8820,-4.34
68,6707,サンケン電気,9315,8903,-4.42
69,4425,Kudan,2045,1953,-4.5
70,5985,サンコール,1973,1883,-4.56
71,285A,キオクシアホールディングス,65450,62460,-4.57
72,7729,東京精密,18350,17445,-4.93
73,6857,アドバンテスト,27755,26075,-6.05
74,6525,KOUSAI ELECTRIC,7647,7161,-6.36
75,6777,santec,28440,25360,-10.83
