順位,コード,銘柄名,開始価格(2026/04/27),終了価格(2026/04/28),上昇率(%)
1,4476,AI CROSS,1095,1178,7.58
2,6890,フェローテック,7230,7750,7.19
3,6754,アンリツ,3755,3974,5.83
4,6315,TOWA,2742,2870,4.67
5,4203,住友ベークライト,5290,5472,3.44
6,285A,キオクシアホールディングス,35470,36320,2.4
7,4021,日産化学,6620,6770,2.27
8,4063,信越化学工業,6949,7081,1.9
9,3132,マクニカHD,2592,2638,1.79
10,4186,東京応化工業,9026,9169,1.58
11,7731,ニコン,1680,1706,1.52
12,6167,冨士ダイス,1005,1020,1.49
13,6758,ソニーグループ,3188,3234,1.44
14,4272,日本化薬,1726,1748,1.3
15,5802,住友電気工業,10060,10190,1.29
16,7741,HOYA,28940,29305,1.26
17,5333,ＮＧＫ,4613,4670,1.24
18,6806,ヒロセ電,21495,21760,1.23
19,4004,レゾナックHD,13990,14155,1.18
20,6971,京セラ,2658,2689,1.17
21,4626,太陽ホールディングス,4753,4800,0.99
22,6254,野村マイクロ・サイエンス,3735,3765,0.8
23,7912,大日印,2933,2956,0.77
24,5819,カナレ電気,1885,1899,0.74
25,5801,古河電気工業,42620,42900,0.66
26,6976,太陽誘電,6543,6586,0.66
27,6616,トレックス・セミコンダクター,1937,1948,0.57
28,4401,ADEKA,3857,3878,0.54
29,6146,ディスコ,76030,76440,0.54
30,6503,三菱電,6048,6078,0.5
31,6963,ローム,3419,3431,0.35
32,3993,PKSH Technology,3310,3315,0.15
33,7729,東京精密,17350,17355,0.03
34,6721,ウインテスト,104,104,0.0
35,9432,NTT,151,151,-0.07
36,6728,アルバック,10100,10090,-0.1
37,6777,santec,28680,28580,-0.35
38,6361,荏原製作所,5446,5423,-0.42
39,4180,Appier Group,892,888,-0.45
40,5232,住阪セメ,3924,3905,-0.48
41,6941,山一電機,10110,10060,-0.49
42,7911,TOPPANHD,4630,4607,-0.5
43,5985,サンコール,1700,1688,-0.71
44,4369,トリケミカル,3420,3395,-0.73
45,5016,JX金属,4860,4824,-0.74
46,4488,AI inside,2654,2629,-0.94
47,5803,フジクラ,6347,6281,-1.04
48,5805,SWCC,15800,15590,-1.33
49,3436,SUMCO,2380,2348,-1.34
50,8154,加賀電子,4245,4185,-1.41
51,6762,TDK,2718,2677,-1.51
52,6981,村田製作所,4916,4840,-1.55
53,4980,デクセリアルズ（テクセリアルズ）,2508,2462,-1.83
54,6871,日本マイクロニクス,13360,13090,-2.02
55,7713,シグマ光機,1988,1944,-2.19
56,6965,浜松ホトニクス,2054,2002,-2.48
57,6834,精工技研,30300,29410,-2.94
58,6504,富士電機,13040,12650,-2.99
59,6920,レーザーテック,45770,44330,-3.15
60,6524,湖北工業,5650,5470,-3.19
61,6525,KOUSAI ELECTRIC,6731,6512,-3.25
62,7735,SCREENホールディングス,10805,10445,-3.33
63,6702,富士通,3825,3693,-3.45
64,6323,ローツェ,3996,3855,-3.53
65,6707,サンケン電気,9846,9481,-3.71
66,6701,NEC,4625,4444,-3.91
67,8035,東京エレクトロン,47100,45150,-4.14
68,6526,ソシオネクスト,2100,2010,-4.31
69,4043,トクヤマ,3897,3717,-4.62
70,6613,QDレーザ,1533,1459,-4.83
71,4425,Kudan,2710,2575,-4.98
72,6857,アドバンテスト,31500,29750,-5.56
73,6501,日立,5356,5047,-5.77
74,6723,ルネサス,3124,2913,-6.75
75,9984,ソフトバンクグループ,5844,5268,-9.86
