順位,コード,銘柄名,開始価格(2026/05/15),終了価格(2026/05/18),上昇率(%)
1,6613,QDレーザ,1727,2127,23.16
2,285A,キオクシアホールディングス,44450,51450,15.75
3,6616,トレックス・セミコンダクター,2390,2612,9.29
4,4980,デクセリアルズ（テクセリアルズ）,3849,4187,8.78
5,6777,santec,29750,32300,8.57
6,6965,浜松ホトニクス,2657,2867,7.9
7,4476,AI CROSS,1017,1090,7.18
8,6315,TOWA,2579,2757,6.9
9,6976,太陽誘電,6762,7194,6.39
10,6701,NEC,4004,4162,3.95
11,5802,住友電気工業,10980,11380,3.64
12,5985,サンコール,1619,1676,3.52
13,3132,マクニカHD,3241,3353,3.46
14,6871,日本マイクロニクス,15300,15690,2.55
15,6834,精工技研,28190,28880,2.45
16,6167,冨士ダイス,1009,1033,2.38
17,8154,加賀電子,4200,4300,2.38
18,6525,KOUSAI ELECTRIC,6590,6716,1.91
19,4021,日産化学,7234,7355,1.67
20,6723,ルネサス,3647,3700,1.45
21,6728,アルバック,9486,9608,1.29
22,7911,TOPPANHD,4480,4513,0.74
23,5801,古河電気工業,54480,54840,0.66
24,4180,Appier Group,967,973,0.62
25,6758,ソニーグループ,3576,3596,0.56
26,6702,富士通,3217,3231,0.44
27,7713,シグマ光機,2094,2103,0.43
28,9432,NTT,152,152,0.4
29,6981,村田製作所,6151,6171,0.33
30,5819,カナレ電気,1798,1799,0.06
31,6501,日立,4812,4808,-0.08
32,4272,日本化薬,2058,2054,-0.19
33,6806,ヒロセ電,23915,23840,-0.31
34,4369,トリケミカル,3430,3415,-0.44
35,6762,TDK,2993,2978,-0.52
36,6920,レーザーテック,38410,38190,-0.57
37,4626,太陽ホールディングス,4900,4867,-0.67
38,7729,東京精密,16515,16395,-0.73
39,3993,PKSH Technology,2902,2880,-0.76
40,6754,アンリツ,4239,4205,-0.8
41,6857,アドバンテスト,26360,26150,-0.8
42,6963,ローム,4180,4145,-0.84
43,7741,HOYA,28005,27725,-1.0
44,6503,三菱電,6416,6350,-1.03
45,4063,信越化学工業,7105,7013,-1.29
46,6524,湖北工業,6750,6660,-1.33
47,6941,山一電機,9660,9530,-1.35
48,6526,ソシオネクスト,2426,2392,-1.42
49,5333,ＮＧＫ,5696,5609,-1.53
50,4203,住友ベークライト,6572,6468,-1.58
51,6971,京セラ,2884,2834,-1.73
52,6323,ローツェ,3739,3672,-1.79
53,6254,野村マイクロ・サイエンス,4950,4860,-1.82
54,6721,ウインテスト,99,97,-2.02
55,8035,東京エレクトロン,50290,49260,-2.05
56,4401,ADEKA,4125,4036,-2.16
57,6146,ディスコ,64900,63500,-2.16
58,6504,富士電機,15135,14775,-2.38
59,9984,ソフトバンクグループ,5745,5593,-2.65
60,4488,AI inside,2323,2260,-2.71
61,6890,フェローテック,9460,9200,-2.75
62,5803,フジクラ,5819,5653,-2.85
63,4004,レゾナックHD,17200,16690,-2.97
64,6707,サンケン電気,9067,8797,-2.98
65,5016,JX金属,4175,4050,-2.99
66,3436,SUMCO,3090,2992,-3.17
67,7912,大日印,2910,2816,-3.25
68,6361,荏原製作所,5533,5349,-3.33
69,4186,東京応化工業,10760,10390,-3.44
70,5232,住阪セメ,4898,4722,-3.59
71,7735,SCREENホールディングス,11335,10885,-3.97
72,4043,トクヤマ,4645,4418,-4.89
73,5805,SWCC,15590,14810,-5.0
74,7731,ニコン,2266,2086,-7.95
75,4425,Kudan,2404,2173,-9.61
