順位,コード,銘柄名,開始価格(2026/05/22),終了価格(2026/05/25),上昇率(%)
1,6976,太陽誘電,9102,10605,16.51
2,5803,フジクラ,4850,5550,14.43
3,285A,キオクシアホールディングス,57400,65450,14.02
4,6920,レーザーテック,38130,43020,12.82
5,6981,村田製作所,7130,7928,11.19
6,6762,TDK,3370,3715,10.24
7,6963,ローム,4595,5030,9.47
8,7911,TOPPANHD,4413,4790,8.54
9,7729,東京精密,16915,18350,8.48
10,5801,古河電気工業,53650,58080,8.26
11,4004,レゾナックHD,18010,19450,8.0
12,3436,SUMCO,3177,3427,7.87
13,4369,トリケミカル,3500,3765,7.57
14,5985,サンコール,1842,1973,7.11
15,5016,JX金属,3994,4261,6.69
16,4980,デクセリアルズ（テクセリアルズ）,4093,4365,6.65
17,6526,ソシオネクスト,2724,2897,6.37
18,5232,住阪セメ,4911,5221,6.31
19,6723,ルネサス,4044,4297,6.26
20,5333,ＮＧＫ,5861,6210,5.95
21,6146,ディスコ,65860,69780,5.95
22,6525,KOUSAI ELECTRIC,7221,7647,5.9
23,4043,トクヤマ,4444,4696,5.67
24,5805,SWCC,13690,14440,5.48
25,6504,富士電機,16280,17100,5.04
26,8035,東京エレクトロン,49830,52180,4.72
27,4186,東京応化工業,11105,11620,4.64
28,9984,ソフトバンクグループ,6757,7070,4.63
29,6361,荏原製作所,5452,5693,4.42
30,6777,santec,27250,28440,4.37
31,6503,三菱電,6301,6560,4.11
32,6834,精工技研,28750,29870,3.9
33,5802,住友電気工業,11820,12265,3.76
34,6941,山一電機,8280,8590,3.74
35,6971,京セラ,2997,3106,3.64
36,6857,アドバンテスト,26845,27755,3.39
37,6890,フェローテック,8930,9220,3.25
38,6728,アルバック,9396,9699,3.22
39,7713,シグマ光機,2163,2232,3.16
40,7731,ニコン,1964,2026,3.11
41,6254,野村マイクロ・サイエンス,4980,5130,3.01
42,6323,ローツェ,3887,4000,2.91
43,6613,QDレーザ,3100,3190,2.9
44,6754,アンリツ,4601,4732,2.85
45,4401,ADEKA,4125,4238,2.74
46,6806,ヒロセ電,23755,24405,2.74
47,4272,日本化薬,2090,2146,2.63
48,7735,SCREENホールディングス,10765,11035,2.51
49,6965,浜松ホトニクス,2910,2974,2.16
50,6758,ソニーグループ,3525,3598,2.07
51,7912,大日印,2644,2684,1.53
52,6524,湖北工業,6600,6700,1.52
53,6501,日立,5002,5054,1.04
54,6871,日本マイクロニクス,15180,15330,0.99
55,8154,加賀電子,4195,4225,0.72
56,4021,日産化学,7245,7296,0.7
57,4488,AI inside,2354,2368,0.59
58,4626,太陽ホールディングス,4865,4890,0.51
59,6167,冨士ダイス,992,997,0.5
60,4203,住友ベークライト,6765,6795,0.44
61,7741,HOYA,26225,26300,0.29
62,6707,サンケン電気,9291,9315,0.26
63,6315,TOWA,2893,2898,0.17
64,5819,カナレ電気,1786,1788,0.11
65,4063,信越化学工業,7034,7041,0.1
66,6702,富士通,3307,3308,0.03
67,6701,NEC,4105,4106,0.02
68,3132,マクニカHD,3227,3206,-0.65
69,9432,NTT,153,151,-1.25
70,4476,AI CROSS,1029,1013,-1.55
71,3993,PKSH Technology,2895,2846,-1.69
72,4425,Kudan,2084,2045,-1.87
73,6616,トレックス・セミコンダクター,2604,2544,-2.3
74,4180,Appier Group,971,933,-3.91
75,6721,ウインテスト,93,88,-5.38
