順位,コード,銘柄名,開始価格(2026/05/19),終了価格(2026/05/20),上昇率(%)
1,6754,アンリツ,4144,4381,5.72
2,285A,キオクシアホールディングス,49770,51290,3.05
3,6890,フェローテック,8550,8760,2.46
4,3436,SUMCO,2960,3020,2.03
5,6963,ローム,4130,4185,1.33
6,6857,アドバンテスト,25290,25625,1.32
7,5801,古河電気工業,50250,50860,1.21
8,6976,太陽誘電,7768,7861,1.2
9,9432,NTT,155,156,0.77
10,6613,QDレーザ,2626,2645,0.72
11,6971,京セラ,2912,2921,0.33
12,7735,SCREENホールディングス,10520,10545,0.24
13,4203,住友ベークライト,6318,6310,-0.13
14,4021,日産化学,7202,7189,-0.18
15,6723,ルネサス,3509,3500,-0.26
16,6981,村田製作所,6180,6164,-0.26
17,6146,ディスコ,61600,61340,-0.42
18,5333,ＮＧＫ,5493,5456,-0.67
19,7911,TOPPANHD,4395,4365,-0.68
20,6501,日立,4944,4908,-0.73
21,4626,太陽ホールディングス,4854,4815,-0.8
22,5232,住阪セメ,4804,4752,-1.08
23,6920,レーザーテック,36060,35650,-1.14
24,6315,TOWA,2629,2596,-1.26
25,5819,カナレ電気,1791,1767,-1.34
26,6616,トレックス・セミコンダクター,2481,2446,-1.41
27,6762,TDK,2986,2943,-1.42
28,4272,日本化薬,2060,2030,-1.46
29,6707,サンケン電気,9224,9089,-1.46
30,7741,HOYA,26895,26500,-1.47
31,4401,ADEKA,4000,3940,-1.5
32,7912,大日印,2781,2738,-1.56
33,6834,精工技研,26040,25620,-1.61
34,4186,東京応化工業,10120,9944,-1.74
35,7729,東京精密,15915,15630,-1.79
36,5016,JX金属,3850,3779,-1.84
37,6524,湖北工業,6430,6310,-1.87
38,6965,浜松ホトニクス,2686,2634,-1.94
39,6702,富士通,3332,3263,-2.07
40,4369,トリケミカル,3330,3255,-2.25
41,8035,東京エレクトロン,47160,46100,-2.25
42,4488,AI inside,2313,2259,-2.33
43,6167,冨士ダイス,1009,985,-2.38
44,4004,レゾナックHD,16300,15910,-2.39
45,4063,信越化学工業,7032,6845,-2.66
46,6871,日本マイクロニクス,14210,13820,-2.74
47,6777,santec,27650,26860,-2.86
48,5802,住友電気工業,10840,10525,-2.91
49,6806,ヒロセ電,24160,23440,-2.98
50,6323,ローツェ,3597,3487,-3.06
51,6758,ソニーグループ,3720,3606,-3.06
52,4980,デクセリアルズ（テクセリアルズ）,3872,3751,-3.12
53,6728,アルバック,9234,8905,-3.56
54,6701,NEC,4297,4140,-3.65
55,3993,PKSH Technology,2818,2715,-3.66
56,8154,加賀電子,4210,4055,-3.68
57,6504,富士電機,14605,14065,-3.7
58,6526,ソシオネクスト,2302,2216,-3.71
59,4043,トクヤマ,4337,4164,-3.99
60,4476,AI CROSS,1042,1000,-4.03
61,6361,荏原製作所,5153,4935,-4.23
62,5985,サンコール,1585,1517,-4.29
63,6941,山一電機,8530,8150,-4.45
64,5805,SWCC,13680,13070,-4.46
65,6503,三菱電,6020,5747,-4.53
66,7731,ニコン,2020,1923,-4.78
67,6525,KOUSAI ELECTRIC,6600,6252,-5.27
68,3132,マクニカHD,3230,3057,-5.36
69,6254,野村マイクロ・サイエンス,4675,4415,-5.56
70,9984,ソフトバンクグループ,5361,5039,-6.01
71,6721,ウインテスト,99,93,-6.06
72,7713,シグマ光機,2093,1965,-6.11
73,5803,フジクラ,4695,4295,-8.52
74,4180,Appier Group,1006,915,-9.05
75,4425,Kudan,2169,1949,-10.14
