順位,コード,銘柄名,開始価格(2026/04/28),終了価格(2026/04/30),上昇率(%)
1,6723,ルネサス,2913,3212,10.26
2,6762,TDK,2677,2890,7.98
3,4043,トクヤマ,3717,3998,7.56
4,6981,村田製作所,4840,5156,6.53
5,5333,ＮＧＫ,4670,4961,6.23
6,3436,SUMCO,2348,2476,5.47
7,6504,富士電機,12650,13085,3.44
8,285A,キオクシアホールディングス,36320,37560,3.41
9,6941,山一電機,10060,10390,3.28
10,6503,三菱電,6078,6231,2.52
11,4063,信越化学工業,7081,7246,2.33
12,4488,AI inside,2629,2676,1.79
13,6315,TOWA,2870,2920,1.74
14,6754,アンリツ,3974,4039,1.64
15,5805,SWCC,15590,15840,1.6
16,4401,ADEKA,3878,3928,1.29
17,6616,トレックス・セミコンダクター,1948,1973,1.28
18,7731,ニコン,1706,1727,1.26
19,6965,浜松ホトニクス,2002,2023,1.02
20,6721,ウインテスト,104,105,0.96
21,7911,TOPPANHD,4607,4650,0.93
22,9432,NTT,151,152,0.93
23,6971,京セラ,2689,2710,0.8
24,4626,太陽ホールディングス,4800,4829,0.6
25,8154,加賀電子,4185,4210,0.6
26,4203,住友ベークライト,5472,5500,0.51
27,4004,レゾナックHD,14155,14215,0.42
28,7912,大日印,2956,2968,0.42
29,3132,マクニカHD,2638,2648,0.4
30,6806,ヒロセ電,21760,21825,0.3
31,4476,AI CROSS,1178,1180,0.17
32,4425,Kudan,2575,2579,0.16
33,4021,日産化学,6770,6775,0.07
34,5802,住友電気工業,10190,10190,0.0
35,5985,サンコール,1688,1688,0.0
36,5232,住阪セメ,3905,3899,-0.15
37,6524,湖北工業,5470,5460,-0.18
38,4180,Appier Group,888,886,-0.23
39,3993,PKSH Technology,3315,3300,-0.45
40,5016,JX金属,4824,4790,-0.7
41,7741,HOYA,29305,29100,-0.7
42,4980,デクセリアルズ（テクセリアルズ）,2462,2442,-0.81
43,4186,東京応化工業,9169,9086,-0.91
44,9984,ソフトバンクグループ,5268,5219,-0.93
45,6963,ローム,3431,3398,-0.96
46,6871,日本マイクロニクス,13090,12960,-0.99
47,7713,シグマ光機,1944,1924,-1.02
48,4272,日本化薬,1748,1728,-1.17
49,5801,古河電気工業,42900,42370,-1.24
50,7729,東京精密,17355,17130,-1.3
51,6707,サンケン電気,9481,9350,-1.38
52,6834,精工技研,29410,28950,-1.56
53,8035,東京エレクトロン,45150,44390,-1.68
54,6361,荏原製作所,5423,5327,-1.77
55,6525,KOUSAI ELECTRIC,6512,6378,-2.06
56,7735,SCREENホールディングス,10445,10230,-2.06
57,6777,santec,28580,27940,-2.24
58,6613,QDレーザ,1459,1419,-2.74
59,6167,冨士ダイス,1020,992,-2.75
60,6890,フェローテック,7750,7530,-2.84
61,6254,野村マイクロ・サイエンス,3765,3655,-2.92
62,6976,太陽誘電,6586,6392,-2.95
63,6146,ディスコ,76440,74010,-3.18
64,6728,アルバック,10090,9762,-3.25
65,6501,日立,5047,4882,-3.27
66,6920,レーザーテック,44330,42690,-3.7
67,6758,ソニーグループ,3234,3113,-3.74
68,5819,カナレ電気,1899,1821,-4.11
69,6323,ローツェ,3855,3670,-4.8
70,5803,フジクラ,6281,5971,-4.94
71,6857,アドバンテスト,29750,28260,-5.01
72,4369,トリケミカル,3395,3200,-5.74
73,6526,ソシオネクスト,2010,1859,-7.49
74,6701,NEC,4444,4101,-7.72
75,6702,富士通,3693,3180,-13.89
