順位,コード,銘柄名,開始価格(2026/05/28),終了価格(2026/05/29),上昇率(%)
1,3436,SUMCO,3348,3994,19.3
2,6976,太陽誘電,13010,14815,13.87
3,6981,村田製作所,8538,9625,12.73
4,6762,TDK,3796,4108,8.22
5,4043,トクヤマ,4733,5107,7.9
6,6963,ローム,5078,5458,7.48
7,285A,キオクシアホールディングス,61280,65850,7.46
8,6971,京セラ,3271,3483,6.48
9,3993,PKSH Technology,2970,3155,6.23
10,4063,信越化学工業,7344,7758,5.64
11,5802,住友電気工業,11955,12585,5.27
12,9984,ソフトバンクグループ,7125,7491,5.14
13,5805,SWCC,14170,14840,4.73
14,6723,ルネサス,4306,4500,4.51
15,6806,ヒロセ電,27205,28225,3.75
16,5232,住阪セメ,5246,5439,3.68
17,6361,荏原製作所,5499,5683,3.35
18,4180,Appier Group,920,950,3.26
19,5333,ＮＧＫ,6120,6316,3.2
20,4203,住友ベークライト,6687,6900,3.19
21,6941,山一電機,8530,8720,2.23
22,6504,富士電機,15155,15440,1.88
23,4425,Kudan,1798,1831,1.84
24,7912,大日印,2722,2770,1.8
25,6890,フェローテック,8540,8690,1.76
26,6965,浜松ホトニクス,2823,2863,1.42
27,4401,ADEKA,4238,4292,1.27
28,6777,santec,24670,24980,1.26
29,4004,レゾナックHD,18500,18720,1.19
30,6525,KOUSAI ELECTRIC,8124,8211,1.07
31,4021,日産化学,7431,7509,1.05
32,4186,東京応化工業,10900,11010,1.01
33,6323,ローツェ,3894,3933,1.0
34,4369,トリケミカル,3735,3770,0.94
35,8154,加賀電子,4385,4425,0.91
36,7735,SCREENホールディングス,11030,11120,0.82
37,7713,シグマ光機,2371,2390,0.8
38,5016,JX金属,3900,3929,0.74
39,3132,マクニカHD,3092,3110,0.58
40,6701,NEC,4086,4103,0.42
41,7911,TOPPANHD,4543,4562,0.42
42,7741,HOYA,26970,27080,0.41
43,4626,太陽ホールディングス,4945,4962,0.34
44,4980,デクセリアルズ（テクセリアルズ）,4029,4038,0.22
45,8035,東京エレクトロン,52320,52420,0.19
46,4272,日本化薬,2130,2132,0.12
47,5801,古河電気工業,52000,52060,0.12
48,6920,レーザーテック,40110,40130,0.05
49,6503,三菱電,6557,6558,0.02
50,6834,精工技研,26960,26960,0.0
51,6501,日立,5174,5166,-0.15
52,6758,ソニーグループ,3451,3444,-0.2
53,9432,NTT,150,150,-0.4
54,4476,AI CROSS,1005,1000,-0.5
55,6857,アドバンテスト,26340,26170,-0.65
56,6754,アンリツ,4580,4547,-0.72
57,5819,カナレ電気,1800,1782,-1.0
58,7729,東京精密,17570,17385,-1.05
59,6526,ソシオネクスト,2665,2635,-1.13
60,6707,サンケン電気,9203,9090,-1.23
61,6167,冨士ダイス,1017,1004,-1.28
62,6524,湖北工業,6010,5930,-1.33
63,6146,ディスコ,66350,65090,-1.9
64,6616,トレックス・セミコンダクター,2895,2815,-2.76
65,6254,野村マイクロ・サイエンス,4725,4590,-2.86
66,7731,ニコン,1900,1844,-2.92
67,6728,アルバック,9800,9504,-3.02
68,6871,日本マイクロニクス,15230,14740,-3.22
69,5985,サンコール,1769,1705,-3.62
70,6315,TOWA,3125,3005,-3.84
71,6702,富士通,3513,3368,-4.13
72,5803,フジクラ,5017,4771,-4.9
73,4488,AI inside,2350,2215,-5.74
74,6721,ウインテスト,81,76,-6.17
75,6613,QDレーザ,2732,2424,-11.27
