順位,コード,銘柄名,開始価格(2026/05/27),終了価格(2026/05/28),上昇率(%)
1,6976,太陽誘電,11120,13010,17.0
2,6616,トレックス・セミコンダクター,2536,2895,14.16
3,6806,ヒロセ電,24735,27205,9.99
4,6981,村田製作所,7820,8538,9.18
5,7713,シグマ光機,2183,2371,8.61
6,6762,TDK,3608,3796,5.21
7,6525,KOUSAI ELECTRIC,7770,8124,4.56
8,6965,浜松ホトニクス,2700,2823,4.56
9,6971,京セラ,3129,3271,4.54
10,6501,日立,4960,5174,4.31
11,6613,QDレーザ,2620,2732,4.27
12,3993,PKSH Technology,2858,2970,3.92
13,8154,加賀電子,4235,4385,3.54
14,3436,SUMCO,3285,3348,1.92
15,6315,TOWA,3070,3125,1.79
16,3132,マクニカHD,3050,3092,1.38
17,5819,カナレ電気,1776,1800,1.35
18,4401,ADEKA,4185,4238,1.27
19,285A,キオクシアホールディングス,60550,61280,1.21
20,6728,アルバック,9713,9800,0.9
21,6503,三菱電,6500,6557,0.88
22,5333,ＮＧＫ,6069,6120,0.84
23,6323,ローツェ,3867,3894,0.7
24,6254,野村マイクロ・サイエンス,4695,4725,0.64
25,6167,冨士ダイス,1012,1017,0.49
26,6361,荏原製作所,5472,5499,0.49
27,7912,大日印,2711,2722,0.39
28,4626,太陽ホールディングス,4934,4945,0.22
29,6890,フェローテック,8530,8540,0.12
30,6702,富士通,3512,3513,0.03
31,4021,日産化学,7432,7431,-0.01
32,4488,AI inside,2358,2350,-0.34
33,8035,東京エレクトロン,52500,52320,-0.34
34,4369,トリケミカル,3750,3735,-0.4
35,4203,住友ベークライト,6720,6687,-0.49
36,5802,住友電気工業,12015,11955,-0.5
37,5985,サンコール,1779,1769,-0.56
38,4980,デクセリアルズ（テクセリアルズ）,4052,4029,-0.57
39,7731,ニコン,1911,1900,-0.58
40,9432,NTT,151,150,-0.6
41,6754,アンリツ,4614,4580,-0.74
42,7729,東京精密,17705,17570,-0.76
43,6963,ローム,5120,5078,-0.82
44,7741,HOYA,27195,26970,-0.83
45,4063,信越化学工業,7406,7344,-0.84
46,5805,SWCC,14300,14170,-0.91
47,6941,山一電機,8610,8530,-0.93
48,4180,Appier Group,929,920,-0.97
49,4272,日本化薬,2154,2130,-1.14
50,4186,東京応化工業,11030,10900,-1.18
51,6701,NEC,4146,4086,-1.45
52,6777,santec,25060,24670,-1.56
53,6707,サンケン電気,9350,9203,-1.57
54,4476,AI CROSS,1022,1005,-1.66
55,7735,SCREENホールディングス,11220,11030,-1.69
56,6146,ディスコ,67630,66350,-1.89
57,7911,TOPPANHD,4632,4543,-1.92
58,6834,精工技研,27500,26960,-1.96
59,5232,住阪セメ,5353,5246,-2.0
60,9984,ソフトバンクグループ,7272,7125,-2.02
61,6758,ソニーグループ,3525,3451,-2.1
62,5803,フジクラ,5140,5017,-2.39
63,6871,日本マイクロニクス,15660,15230,-2.75
64,6857,アドバンテスト,27130,26340,-2.91
65,5016,JX金属,4022,3900,-3.03
66,4004,レゾナックHD,19100,18500,-3.14
67,6524,湖北工業,6210,6010,-3.22
68,6920,レーザーテック,41530,40110,-3.42
69,6723,ルネサス,4474,4306,-3.76
70,4043,トクヤマ,4929,4733,-3.98
71,4425,Kudan,1881,1798,-4.41
72,6526,ソシオネクスト,2820,2665,-5.51
73,6721,ウインテスト,86,81,-5.81
74,6504,富士電機,16315,15155,-7.11
75,5801,古河電気工業,56110,52000,-7.32
