順位,コード,銘柄名,開始価格(2026/05/11),終了価格(2026/05/12),上昇率(%)
1,5801,古河電気工業,43430,50430,16.12
2,6777,santec,27230,31000,13.85
3,5803,フジクラ,6832,7624,11.59
4,7731,ニコン,1968,2160,9.7
5,6806,ヒロセ電,22430,24230,8.02
6,6834,精工技研,31050,33500,7.89
7,4203,住友ベークライト,6236,6691,7.3
8,6723,ルネサス,3500,3750,7.14
9,5805,SWCC,17230,18340,6.44
10,4004,レゾナックHD,16850,17815,5.73
11,6871,日本マイクロニクス,13850,14640,5.7
12,6728,アルバック,10815,11320,4.67
13,9984,ソフトバンクグループ,5743,5987,4.25
14,4043,トクヤマ,4412,4593,4.1
15,3436,SUMCO,3613,3760,4.07
16,5802,住友電気工業,11210,11650,3.93
17,5985,サンコール,2010,2085,3.73
18,6758,ソニーグループ,3372,3484,3.32
19,5232,住阪セメ,4018,4131,2.81
20,4369,トリケミカル,3410,3485,2.2
21,7911,TOPPANHD,5328,5442,2.14
22,6981,村田製作所,5960,6078,1.98
23,4186,東京応化工業,11190,11395,1.83
24,4021,日産化学,6982,7100,1.69
25,6616,トレックス・セミコンダクター,2308,2343,1.52
26,6941,山一電機,10800,10960,1.48
27,5333,ＮＧＫ,5550,5614,1.15
28,4401,ADEKA,3987,4030,1.08
29,6524,湖北工業,6700,6760,0.9
30,6762,TDK,2936,2961,0.85
31,6167,冨士ダイス,1006,1014,0.8
32,6701,NEC,4101,4130,0.71
33,6965,浜松ホトニクス,2162,2177,0.69
34,9432,NTT,148,149,0.67
35,7729,東京精密,18860,18985,0.66
36,8154,加賀電子,4365,4385,0.46
37,285A,キオクシアホールディングス,45940,46100,0.35
38,4272,日本化薬,1774,1780,0.34
39,6525,KOUSAI ELECTRIC,7054,7078,0.34
40,4180,Appier Group,999,1002,0.3
41,7735,SCREENホールディングス,11410,11430,0.18
42,7741,HOYA,27235,27285,0.18
43,8035,東京エレクトロン,52080,52160,0.15
44,6890,フェローテック,9610,9620,0.1
45,6857,アドバンテスト,28780,28705,-0.26
46,3132,マクニカHD,3070,3061,-0.29
47,4626,太陽ホールディングス,4941,4924,-0.34
48,6971,京セラ,2858,2848,-0.37
49,6501,日立,4887,4868,-0.39
50,6613,QDレーザ,1688,1680,-0.47
51,6504,富士電機,15005,14925,-0.53
52,4063,信越化学工業,7574,7520,-0.71
53,6146,ディスコ,73380,72800,-0.79
54,6963,ローム,4000,3967,-0.83
55,6721,ウインテスト,105,104,-0.95
56,5819,カナレ電気,1829,1811,-0.98
57,6702,富士通,3341,3307,-1.02
58,6361,荏原製作所,5902,5841,-1.03
59,6323,ローツェ,4040,3995,-1.11
60,6503,三菱電,6447,6373,-1.15
61,6920,レーザーテック,44110,43490,-1.41
62,4980,デクセリアルズ（テクセリアルズ）,2740,2681,-2.14
63,7912,大日印,3254,3180,-2.27
64,6707,サンケン電気,9463,9238,-2.38
65,7713,シグマ光機,2128,2075,-2.47
66,6254,野村マイクロ・サイエンス,4630,4490,-3.02
67,6754,アンリツ,4142,4016,-3.04
68,4425,Kudan,3080,2967,-3.67
69,6976,太陽誘電,6750,6502,-3.67
70,4476,AI CROSS,1181,1135,-3.9
71,3993,PKSH Technology,3315,3185,-3.92
72,6526,ソシオネクスト,2380,2265,-4.83
73,4488,AI inside,2757,2601,-5.66
74,5016,JX金属,5720,4762,-16.75
75,6315,TOWA,3375,2675,-20.74
