順位,コード,銘柄名,開始価格(2026/04/24),終了価格(2026/05/25),上昇率(%)
1,6613,QDレーザ,1465,3190,117.75
2,285A,キオクシアホールディングス,34580,65450,89.27
3,4980,デクセリアルズ（テクセリアルズ）,2440,4365,78.86
4,6976,太陽誘電,6508,10605,62.95
5,6981,村田製作所,4936,7928,60.62
6,6965,浜松ホトニクス,1922,2974,54.75
7,3436,SUMCO,2242,3427,52.85
8,6526,ソシオネクスト,2046,2897,41.56
9,4004,レゾナックHD,13770,19450,41.25
10,5333,ＮＧＫ,4428,6210,40.24
11,6254,野村マイクロ・サイエンス,3660,5130,40.16
12,6504,富士電機,12210,17100,40.05
13,6762,TDK,2690,3715,38.13
14,6723,ルネサス,3141,4297,36.8
15,5801,古河電気工業,42950,58080,35.23
16,6616,トレックス・セミコンダクター,1891,2544,34.53
17,6963,ローム,3765,5030,33.6
18,6524,湖北工業,5020,6700,33.47
19,5232,住阪セメ,3934,5221,32.71
20,6754,アンリツ,3594,4732,31.66
21,4203,住友ベークライト,5235,6795,29.8
22,4186,東京応化工業,9069,11620,28.13
23,3132,マクニカHD,2536,3206,26.44
24,4043,トクヤマ,3783,4696,24.13
25,5985,サンコール,1600,1973,23.31
26,6890,フェローテック,7480,9220,23.26
27,4272,日本化薬,1742,2146,23.2
28,5802,住友電気工業,10015,12265,22.47
29,6871,日本マイクロニクス,12540,15330,22.25
30,7731,ニコン,1674,2026,20.96
31,9984,ソフトバンクグループ,5963,7070,18.56
32,4369,トリケミカル,3200,3765,17.66
33,7713,シグマ光機,1903,2232,17.28
34,6525,KOUSAI ELECTRIC,6646,7647,15.06
35,6971,京セラ,2710,3106,14.61
36,8035,東京エレクトロン,45850,52180,13.81
37,6758,ソニーグループ,3208,3598,12.16
38,6806,ヒロセ電,21775,24405,12.08
39,6315,TOWA,2599,2898,11.5
40,4401,ADEKA,3813,4238,11.15
41,6323,ローツェ,3638,4000,9.95
42,4021,日産化学,6660,7296,9.55
43,6503,三菱電,5999,6560,9.35
44,6361,荏原製作所,5304,5693,7.33
45,7729,東京精密,17430,18350,5.28
46,7911,TOPPANHD,4582,4790,4.54
47,4063,信越化学工業,6768,7041,4.03
48,7735,SCREENホールディングス,10610,11035,4.01
49,4180,Appier Group,906,933,2.98
50,4626,太陽ホールディングス,4800,4890,1.88
51,8154,加賀電子,4200,4225,0.6
52,6167,冨士ダイス,1000,997,-0.3
53,9432,NTT,152,151,-0.53
54,6728,アルバック,9773,9699,-0.76
55,6777,santec,28700,28440,-0.91
56,6834,精工技研,30600,29870,-2.39
57,6146,ディスコ,71700,69780,-2.68
58,6501,日立,5229,5054,-3.35
59,6707,サンケン電気,9706,9315,-4.03
60,4476,AI CROSS,1056,1013,-4.07
61,6920,レーザーテック,45060,43020,-4.53
62,5819,カナレ電気,1895,1788,-5.65
63,6857,アドバンテスト,29440,27755,-5.72
64,5805,SWCC,15500,14440,-6.84
65,5016,JX金属,4625,4261,-7.87
66,7741,HOYA,28590,26300,-8.01
67,5803,フジクラ,6037,5550,-8.07
68,6701,NEC,4513,4106,-9.02
69,7912,大日印,2978,2684,-9.86
70,6702,富士通,3696,3308,-10.5
71,4488,AI inside,2660,2368,-10.98
72,3993,PKSH Technology,3280,2846,-13.23
73,6721,ウインテスト,102,88,-13.73
74,6941,山一電機,10450,8590,-17.8
75,4425,Kudan,2552,2045,-19.87
