順位,コード,銘柄名,開始価格(2026/04/27),終了価格(2026/05/28),上昇率(%)
1,6976,太陽誘電,6543,13010,98.84
2,6613,QDレーザ,1533,2732,78.21
3,6981,村田製作所,4916,8538,73.68
4,285A,キオクシアホールディングス,35470,61280,72.77
5,4980,デクセリアルズ（テクセリアルズ）,2508,4029,60.68
6,6616,トレックス・セミコンダクター,1937,2895,49.46
7,6963,ローム,3419,5078,48.52
8,3436,SUMCO,2380,3348,40.7
9,6762,TDK,2718,3796,39.66
10,6723,ルネサス,3124,4306,37.84
11,6965,浜松ホトニクス,2054,2823,37.47
12,5232,住阪セメ,3924,5246,33.69
13,5333,ＮＧＫ,4613,6120,32.67
14,4004,レゾナックHD,13990,18500,32.24
15,6526,ソシオネクスト,2100,2665,26.9
16,6806,ヒロセ電,21495,27205,26.56
17,6254,野村マイクロ・サイエンス,3735,4725,26.51
18,4203,住友ベークライト,5290,6687,26.41
19,4272,日本化薬,1726,2130,23.44
20,6971,京セラ,2658,3271,23.06
21,5801,古河電気工業,42620,52000,22.01
22,6754,アンリツ,3755,4580,21.97
23,9984,ソフトバンクグループ,5844,7125,21.92
24,4043,トクヤマ,3897,4733,21.45
25,4186,東京応化工業,9026,10900,20.76
26,6525,KOUSAI ELECTRIC,6731,8124,20.7
27,3132,マクニカHD,2592,3092,19.31
28,7713,シグマ光機,1988,2371,19.27
29,5802,住友電気工業,10060,11955,18.84
30,6890,フェローテック,7230,8540,18.12
31,6504,富士電機,13040,15155,16.22
32,6871,日本マイクロニクス,13360,15230,14.0
33,6315,TOWA,2742,3125,13.97
34,7731,ニコン,1680,1900,13.1
35,4021,日産化学,6620,7431,12.25
36,8035,東京エレクトロン,47100,52320,11.08
37,4401,ADEKA,3857,4238,9.88
38,4369,トリケミカル,3420,3735,9.21
39,6503,三菱電,6048,6557,8.42
40,6758,ソニーグループ,3188,3451,8.25
41,6524,湖北工業,5650,6010,6.37
42,4063,信越化学工業,6949,7344,5.68
43,5985,サンコール,1700,1769,4.06
44,4626,太陽ホールディングス,4753,4945,4.04
45,8154,加賀電子,4245,4385,3.3
46,4180,Appier Group,892,920,3.14
47,7735,SCREENホールディングス,10805,11030,2.08
48,7729,東京精密,17350,17570,1.27
49,6167,冨士ダイス,1005,1017,1.19
50,6361,荏原製作所,5446,5499,0.97
51,9432,NTT,151,150,-0.73
52,7911,TOPPANHD,4630,4543,-1.88
53,6323,ローツェ,3996,3894,-2.55
54,6728,アルバック,10100,9800,-2.97
55,6501,日立,5356,5174,-3.4
56,5819,カナレ電気,1885,1800,-4.51
57,6707,サンケン電気,9846,9203,-6.53
58,7741,HOYA,28940,26970,-6.81
59,7912,大日印,2933,2722,-7.21
60,6702,富士通,3825,3513,-8.16
61,4476,AI CROSS,1095,1005,-8.22
62,3993,PKSH Technology,3310,2970,-10.27
63,5805,SWCC,15800,14170,-10.32
64,6834,精工技研,30300,26960,-11.02
65,4488,AI inside,2654,2350,-11.45
66,6701,NEC,4625,4086,-11.65
67,6920,レーザーテック,45770,40110,-12.37
68,6146,ディスコ,76030,66350,-12.73
69,6777,santec,28680,24670,-13.98
70,6941,山一電機,10110,8530,-15.63
71,6857,アドバンテスト,31500,26340,-16.38
72,5016,JX金属,4860,3900,-19.75
73,5803,フジクラ,6347,5017,-20.95
74,6721,ウインテスト,104,81,-22.12
75,4425,Kudan,2710,1798,-33.65
