順位,コード,銘柄名,開始価格(2026/04/17),終了価格(2026/05/18),上昇率(%)
1,4980,デクセリアルズ（テクセリアルズ）,2434,4187,72.06
2,285A,キオクシアホールディングス,30530,51450,68.52
3,6613,QDレーザ,1285,2127,65.53
4,6965,浜松ホトニクス,1937,2867,48.01
5,3436,SUMCO,2095,2992,42.82
6,3132,マクニカHD,2378,3353,41.0
7,6524,湖北工業,4830,6660,37.89
8,6890,フェローテック,6700,9200,37.31
9,6981,村田製作所,4600,6171,34.15
10,4004,レゾナックHD,12460,16690,33.95
11,6723,ルネサス,2795,3700,32.38
12,6526,ソシオネクスト,1810,2392,32.09
13,6616,トレックス・セミコンダクター,1983,2612,31.72
14,6254,野村マイクロ・サイエンス,3715,4860,30.82
15,6871,日本マイクロニクス,12370,15690,26.84
16,5333,ＮＧＫ,4473,5609,25.4
17,4203,住友ベークライト,5190,6468,24.62
18,9984,ソフトバンクグループ,4527,5593,23.55
19,6504,富士電機,11960,14775,23.54
20,6754,アンリツ,3418,4205,23.03
21,5801,古河電気工業,44960,54840,21.98
22,6777,santec,26530,32300,21.75
23,5232,住阪セメ,4057,4722,16.39
24,7713,シグマ光機,1810,2103,16.2
25,6976,太陽誘電,6203,7194,15.98
26,4043,トクヤマ,3816,4418,15.78
27,4272,日本化薬,1783,2054,15.2
28,4186,東京応化工業,9033,10390,15.02
29,5802,住友電気工業,9976,11380,14.07
30,6762,TDK,2616,2978,13.82
31,4021,日産化学,6474,7355,13.61
32,8035,東京エレクトロン,44010,49260,11.93
33,6963,ローム,3713,4145,11.63
34,4369,トリケミカル,3090,3415,10.52
35,6806,ヒロセ電,21590,23840,10.42
36,6503,三菱電,5799,6350,9.5
37,7731,ニコン,1916,2086,8.87
38,6361,荏原製作所,4933,5349,8.43
39,6758,ソニーグループ,3395,3596,5.92
40,6971,京セラ,2688,2834,5.43
41,4476,AI CROSS,1034,1090,5.42
42,6315,TOWA,2635,2757,4.63
43,8154,加賀電子,4115,4300,4.5
44,5805,SWCC,14230,14810,4.08
45,6707,サンケン電気,8457,8797,4.02
46,7735,SCREENホールディングス,10510,10885,3.57
47,5985,サンコール,1645,1676,1.88
48,4401,ADEKA,3969,4036,1.69
49,4626,太陽ホールディングス,4790,4867,1.61
50,4063,信越化学工業,6907,7013,1.53
51,6323,ローツェ,3626,3672,1.27
52,4180,Appier Group,966,973,0.72
53,6525,KOUSAI ELECTRIC,6717,6716,-0.01
54,7729,東京精密,16420,16395,-0.15
55,6167,冨士ダイス,1043,1033,-0.96
56,9432,NTT,154,152,-1.04
57,6728,アルバック,9715,9608,-1.1
58,5803,フジクラ,5762,5653,-1.89
59,7911,TOPPANHD,4664,4513,-3.24
60,6701,NEC,4328,4162,-3.84
61,7741,HOYA,28995,27725,-4.38
62,6920,レーザーテック,39950,38190,-4.41
63,5819,カナレ電気,1890,1799,-4.81
64,4488,AI inside,2382,2260,-5.12
65,6834,精工技研,30550,28880,-5.47
66,6721,ウインテスト,103,97,-5.83
67,6857,アドバンテスト,27870,26150,-6.17
68,7912,大日印,3019,2816,-6.74
69,6501,日立,5157,4808,-6.77
70,3993,PKSH Technology,3135,2880,-8.13
71,6941,山一電機,10430,9530,-8.63
72,6146,ディスコ,72900,63500,-12.89
73,4425,Kudan,2521,2173,-13.8
74,6702,富士通,3770,3231,-14.3
75,5016,JX金属,4899,4050,-17.33
