順位,コード,銘柄名,開始価格(2026/04/27),終了価格(2026/05/27),上昇率(%)
1,6613,QDレーザ,1533,2620,70.91
2,285A,キオクシアホールディングス,35470,60550,70.71
3,6976,太陽誘電,6543,11120,69.95
4,4980,デクセリアルズ（テクセリアルズ）,2508,4052,61.6
5,6981,村田製作所,4916,7820,59.07
6,6963,ローム,3419,5120,49.75
7,6723,ルネサス,3124,4474,43.21
8,3436,SUMCO,2380,3285,38.05
9,4004,レゾナックHD,13990,19100,36.53
10,5232,住阪セメ,3924,5353,36.42
11,6526,ソシオネクスト,2100,2820,34.31
12,6762,TDK,2718,3608,32.74
13,5801,古河電気工業,42620,56110,31.65
14,5333,ＮＧＫ,4613,6069,31.56
15,6965,浜松ホトニクス,2054,2700,31.48
16,6616,トレックス・セミコンダクター,1937,2536,30.92
17,4203,住友ベークライト,5290,6720,27.03
18,4043,トクヤマ,3897,4929,26.48
19,6254,野村マイクロ・サイエンス,3735,4695,25.7
20,6504,富士電機,13040,16315,25.12
21,4272,日本化薬,1726,2154,24.86
22,9984,ソフトバンクグループ,5844,7272,24.44
23,6754,アンリツ,3755,4614,22.88
24,4186,東京応化工業,9026,11030,22.2
25,5802,住友電気工業,10060,12015,19.43
26,6890,フェローテック,7230,8530,17.98
27,6971,京セラ,2658,3129,17.72
28,3132,マクニカHD,2592,3050,17.69
29,6871,日本マイクロニクス,13360,15660,17.22
30,6525,KOUSAI ELECTRIC,6731,7770,15.44
31,6806,ヒロセ電,21495,24735,15.07
32,7731,ニコン,1680,1911,13.75
33,4021,日産化学,6620,7432,12.27
34,6315,TOWA,2742,3070,11.96
35,8035,東京エレクトロン,47100,52500,11.46
36,6758,ソニーグループ,3188,3525,10.57
37,6524,湖北工業,5650,6210,9.91
38,7713,シグマ光機,1988,2183,9.82
39,4369,トリケミカル,3420,3750,9.65
40,4401,ADEKA,3857,4185,8.5
41,6503,三菱電,6048,6500,7.47
42,4063,信越化学工業,6949,7406,6.58
43,5985,サンコール,1700,1779,4.65
44,4180,Appier Group,892,929,4.15
45,7735,SCREENホールディングス,10805,11220,3.84
46,4626,太陽ホールディングス,4753,4934,3.81
47,7729,東京精密,17350,17705,2.05
48,6167,冨士ダイス,1005,1012,0.7
49,6361,荏原製作所,5446,5472,0.48
50,7911,TOPPANHD,4630,4632,0.04
51,9432,NTT,151,151,-0.13
52,8154,加賀電子,4245,4235,-0.24
53,6323,ローツェ,3996,3867,-3.23
54,6728,アルバック,10100,9713,-3.83
55,6707,サンケン電気,9846,9350,-5.04
56,5819,カナレ電気,1885,1776,-5.78
57,7741,HOYA,28940,27195,-6.03
58,4476,AI CROSS,1095,1022,-6.67
59,6501,日立,5356,4960,-7.39
60,7912,大日印,2933,2711,-7.57
61,6702,富士通,3825,3512,-8.18
62,6834,精工技研,30300,27500,-9.24
63,6920,レーザーテック,45770,41530,-9.26
64,5805,SWCC,15800,14300,-9.49
65,6701,NEC,4625,4146,-10.36
66,6146,ディスコ,76030,67630,-11.05
67,4488,AI inside,2654,2358,-11.15
68,6777,santec,28680,25060,-12.62
69,3993,PKSH Technology,3310,2858,-13.66
70,6857,アドバンテスト,31500,27130,-13.87
71,6941,山一電機,10110,8610,-14.84
72,5016,JX金属,4860,4022,-17.24
73,6721,ウインテスト,104,86,-17.31
74,5803,フジクラ,6347,5140,-19.02
75,4425,Kudan,2710,1881,-30.59
