順位,コード,銘柄名,開始価格(2026/04/21),終了価格(2026/05/22),上昇率(%)
1,6613,QDレーザ,1609,3100,92.67
2,285A,キオクシアホールディングス,32740,57400,75.32
3,4980,デクセリアルズ（テクセリアルズ）,2452,4093,66.96
4,6976,太陽誘電,6072,9102,49.9
5,6965,浜松ホトニクス,1946,2910,49.6
6,6981,村田製作所,4810,7130,48.23
7,6526,ソシオネクスト,1874,2724,45.33
8,3436,SUMCO,2226,3177,42.72
9,6524,湖北工業,4870,6600,35.52
10,4004,レゾナックHD,13330,18010,35.11
11,6504,富士電機,12060,16280,34.99
12,3132,マクニカHD,2442,3227,32.17
13,6723,ルネサス,3079,4044,31.34
14,6890,フェローテック,6810,8930,31.13
15,6762,TDK,2576,3370,30.82
16,9984,ソフトバンクグループ,5181,6757,30.42
17,6254,野村マイクロ・サイエンス,3850,4980,29.35
18,5333,ＮＧＫ,4543,5861,29.01
19,4203,住友ベークライト,5292,6765,27.83
20,6754,アンリツ,3662,4601,25.64
21,6616,トレックス・セミコンダクター,2086,2604,24.83
22,6963,ローム,3744,4595,22.73
23,6871,日本マイクロニクス,12460,15180,21.83
24,5801,古河電気工業,44260,53650,21.22
25,5232,住阪セメ,4074,4911,20.54
26,4186,東京応化工業,9343,11105,18.86
27,4272,日本化薬,1781,2090,17.38
28,5985,サンコール,1592,1842,15.7
29,4043,トクヤマ,3842,4444,15.67
30,5802,住友電気工業,10300,11820,14.76
31,7713,シグマ光機,1901,2163,13.81
32,6315,TOWA,2620,2893,10.42
33,6806,ヒロセ電,21635,23755,9.8
34,6971,京セラ,2738,2997,9.44
35,4369,トリケミカル,3210,3500,9.03
36,8035,東京エレクトロン,45780,49830,8.85
37,4021,日産化学,6783,7245,6.81
38,6361,荏原製作所,5137,5452,6.13
39,6707,サンケン電気,8769,9291,5.95
40,6758,ソニーグループ,3346,3525,5.35
41,4180,Appier Group,922,971,5.31
42,6323,ローツェ,3700,3887,5.05
43,6525,KOUSAI ELECTRIC,6889,7221,4.82
44,6503,三菱電,6028,6301,4.53
45,4063,信越化学工業,6733,7034,4.47
46,4401,ADEKA,3980,4125,3.64
47,8154,加賀電子,4110,4195,2.07
48,4626,太陽ホールディングス,4807,4865,1.21
49,7729,東京精密,16720,16915,1.17
50,7735,SCREENホールディングス,10700,10765,0.61
51,9432,NTT,152,153,0.2
52,7731,ニコン,1978,1964,-0.66
53,6857,アドバンテスト,27200,26845,-1.31
54,4476,AI CROSS,1062,1029,-3.11
55,6501,日立,5189,5002,-3.6
56,6728,アルバック,9785,9396,-3.98
57,6167,冨士ダイス,1041,992,-4.71
58,7911,TOPPANHD,4635,4413,-4.79
59,5819,カナレ電気,1880,1786,-5.0
60,5805,SWCC,14580,13690,-6.1
61,3993,PKSH Technology,3090,2895,-6.31
62,4488,AI inside,2517,2354,-6.48
63,6701,NEC,4431,4105,-7.36
64,6777,santec,29770,27250,-8.46
65,7741,HOYA,28970,26225,-9.48
66,6146,ディスコ,74240,65860,-11.29
67,6721,ウインテスト,105,93,-11.43
68,6834,精工技研,32600,28750,-11.81
69,7912,大日印,3032,2644,-12.8
70,6920,レーザーテック,44520,38130,-14.35
71,6702,富士通,3883,3307,-14.83
72,5016,JX金属,4820,3994,-17.14
73,5803,フジクラ,5889,4850,-17.64
74,6941,山一電機,10860,8280,-23.76
75,4425,Kudan,2817,2084,-26.02
