順位,コード,銘柄名,開始価格(2026/04/27),終了価格(2026/05/26),上昇率(%)
1,6613,QDレーザ,1533,3320,116.57
2,285A,キオクシアホールディングス,35470,62460,76.09
3,6976,太陽誘電,6543,11445,74.92
4,4980,デクセリアルズ（テクセリアルズ）,2508,4218,68.22
5,6981,村田製作所,4916,8077,64.3
6,6963,ローム,3419,5136,50.22
7,6723,ルネサス,3124,4589,46.9
8,6965,浜松ホトニクス,2054,2932,42.8
9,5801,古河電気工業,42620,60140,41.11
10,3436,SUMCO,2380,3354,40.95
11,5333,ＮＧＫ,4613,6336,37.35
12,4004,レゾナックHD,13990,19070,36.31
13,6526,ソシオネクスト,2100,2844,35.43
14,9984,ソフトバンクグループ,5844,7841,34.17
15,5232,住阪セメ,3924,5249,33.77
16,6616,トレックス・セミコンダクター,1937,2587,33.56
17,6762,TDK,2718,3627,33.44
18,6254,野村マイクロ・サイエンス,3735,4980,33.33
19,6504,富士電機,13040,17275,32.48
20,4203,住友ベークライト,5290,6786,28.28
21,4043,トクヤマ,3897,4891,25.51
22,4272,日本化薬,1726,2166,25.5
23,6754,アンリツ,3755,4670,24.37
24,4186,東京応化工業,9026,11170,23.75
25,6890,フェローテック,7230,8820,21.99
26,3132,マクニカHD,2592,3146,21.4
27,6871,日本マイクロニクス,13360,16110,20.58
28,5802,住友電気工業,10060,11940,18.69
29,6971,京セラ,2658,3146,18.36
30,7731,ニコン,1680,1954,16.31
31,6806,ヒロセ電,21495,24775,15.26
32,6524,湖北工業,5650,6420,13.63
33,6315,TOWA,2742,3070,11.96
34,4021,日産化学,6620,7372,11.36
35,6758,ソニーグループ,3188,3548,11.29
36,5985,サンコール,1700,1883,10.76
37,4401,ADEKA,3857,4264,10.55
38,7713,シグマ光機,1988,2183,9.82
39,4369,トリケミカル,3420,3745,9.5
40,8035,東京エレクトロン,47100,51420,9.17
41,6503,三菱電,6048,6539,8.12
42,6525,KOUSAI ELECTRIC,6731,7161,6.39
43,6361,荏原製作所,5446,5642,3.6
44,4180,Appier Group,892,921,3.25
45,7911,TOPPANHD,4630,4764,2.89
46,4626,太陽ホールディングス,4753,4880,2.67
47,4063,信越化学工業,6949,7022,1.05
48,7729,東京精密,17350,17445,0.55
49,6167,冨士ダイス,1005,1008,0.3
50,7735,SCREENホールディングス,10805,10715,-0.83
51,9432,NTT,151,150,-0.99
52,8154,加賀電子,4245,4180,-1.53
53,6323,ローツェ,3996,3893,-2.58
54,6834,精工技研,30300,28850,-4.79
55,5819,カナレ電気,1885,1791,-4.99
56,6728,アルバック,10100,9587,-5.08
57,6501,日立,5356,5056,-5.6
58,4476,AI CROSS,1095,1022,-6.67
59,7912,大日印,2933,2734,-6.77
60,6920,レーザーテック,45770,41680,-8.94
61,6707,サンケン電気,9846,8903,-9.58
62,7741,HOYA,28940,25970,-10.26
63,5805,SWCC,15800,14110,-10.7
64,6701,NEC,4625,4113,-11.07
65,6777,santec,28680,25360,-11.58
66,6702,富士通,3825,3370,-11.9
67,6146,ディスコ,76030,66910,-12.0
68,4488,AI inside,2654,2325,-12.4
69,5016,JX金属,4860,4195,-13.68
70,3993,PKSH Technology,3310,2786,-15.83
71,5803,フジクラ,6347,5329,-16.04
72,6721,ウインテスト,104,87,-16.35
73,6941,山一電機,10110,8380,-17.11
74,6857,アドバンテスト,31500,26075,-17.22
75,4425,Kudan,2710,1953,-27.93
