順位,コード,銘柄名,開始価格(2026/04/20),終了価格(2026/05/21),上昇率(%)
1,285A,キオクシアホールディングス,30510,55340,81.38
2,4980,デクセリアルズ（テクセリアルズ）,2450,4085,66.7
3,6613,QDレーザ,1585,2600,64.04
4,3436,SUMCO,2110,3078,45.88
5,6526,ソシオネクスト,1842,2637,43.12
6,6981,村田製作所,4738,6727,41.98
7,4004,レゾナックHD,12500,17310,38.48
8,6965,浜松ホトニクス,1952,2674,36.96
9,3132,マクニカHD,2406,3161,31.41
10,6976,太陽誘電,6222,8145,30.91
11,6890,フェローテック,6700,8720,30.15
12,6504,富士電機,11780,15330,30.14
13,6754,アンリツ,3466,4468,28.91
14,4203,住友ベークライト,5161,6619,28.25
15,6723,ルネサス,2972,3785,27.33
16,6524,湖北工業,4945,6280,27.0
17,9984,ソフトバンクグループ,4774,6039,26.5
18,5333,ＮＧＫ,4521,5700,26.08
19,6762,TDK,2542,3141,23.56
20,6616,トレックス・セミコンダクター,2051,2525,23.11
21,6254,野村マイクロ・サイエンス,3845,4585,19.25
22,6871,日本マイクロニクス,12660,15040,18.8
23,5232,住阪セメ,4084,4836,18.41
24,4186,東京応化工業,8960,10570,17.97
25,4272,日本化薬,1772,2072,16.99
26,6963,ローム,3811,4397,15.38
27,4043,トクヤマ,3822,4381,14.63
28,5801,古河電気工業,43070,49280,14.42
29,8035,東京エレクトロン,44250,48800,10.28
30,4021,日産化学,6470,7119,10.03
31,6806,ヒロセ電,21555,23485,8.95
32,5802,住友電気工業,9976,10730,7.56
33,4369,トリケミカル,3110,3335,7.23
34,7713,シグマ光機,1863,1998,7.23
35,6707,サンケン電気,8773,9367,6.77
36,6971,京セラ,2754,2940,6.75
37,6758,ソニーグループ,3384,3554,5.02
38,6525,KOUSAI ELECTRIC,6738,7005,3.96
39,6323,ローツェ,3624,3752,3.53
40,4401,ADEKA,3963,4086,3.1
41,6315,TOWA,2620,2680,2.29
42,7735,SCREENホールディングス,10575,10730,1.47
43,4180,Appier Group,938,950,1.28
44,4063,信越化学工業,6773,6857,1.24
45,8154,加賀電子,4090,4140,1.22
46,7729,東京精密,16250,16395,0.89
47,7731,ニコン,1950,1966,0.79
48,4626,太陽ホールディングス,4800,4836,0.75
49,9432,NTT,154,154,0.13
50,6503,三菱電,6088,6069,-0.31
51,6501,日立,5153,5123,-0.58
52,6857,アドバンテスト,27100,26745,-1.31
53,6361,荏原製作所,5131,5036,-1.85
54,7911,TOPPANHD,4623,4442,-3.92
55,4476,AI CROSS,1053,1009,-4.18
56,4488,AI inside,2397,2295,-4.26
57,6701,NEC,4327,4125,-4.67
58,5985,サンコール,1674,1590,-5.02
59,6728,アルバック,9758,9199,-5.73
60,6167,冨士ダイス,1047,978,-6.59
61,5819,カナレ電気,1910,1781,-6.75
62,5805,SWCC,14090,13120,-6.88
63,6920,レーザーテック,42120,38060,-9.64
64,7912,大日印,3032,2738,-9.68
65,6146,ディスコ,72950,65650,-10.01
66,7741,HOYA,29645,26580,-10.34
67,6777,santec,29280,26020,-11.13
68,3993,PKSH Technology,3130,2753,-12.04
69,6721,ウインテスト,107,94,-12.15
70,6702,富士通,3753,3259,-13.16
71,5016,JX金属,4817,3928,-18.46
72,5803,フジクラ,5529,4501,-18.59
73,6834,精工技研,31450,25190,-19.9
74,6941,山一電機,10450,7930,-24.11
75,4425,Kudan,2646,1917,-27.55
