順位,コード,銘柄名,開始価格(2026/04/20),終了価格(2026/05/20),上昇率(%)
1,6981,村田製作所,4738,6164,30.1
2,6098,リクルートホールディングス,7625,9653,26.6
3,8591,オリックス,5040,6052,20.08
4,7733,オリンパス,1578,1872,18.63
5,6723,ルネサスエレクトロニクス,2972,3500,17.75
6,8053,住友商事,6000,7011,16.85
7,6762,ＴＤＫ,2542,2943,15.77
8,6861,キーエンス,64030,72910,13.87
9,8750,第一生命ホールディングス,1459,1656,13.5
10,7182,ゆうちょ銀行,2710,3075,13.47
11,6178,日本郵政,1866,2110,13.05
12,6954,ファナック,6503,7322,12.59
13,8058,三菱商事,4910,5436,10.71
14,2802,味の素,4607,5068,10.01
15,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4026,4420,9.79
16,2914,日本たばこ産業,5790,6346,9.6
17,8766,東京海上ホールディングス,7175,7817,8.95
18,8015,豊田通商,6284,6763,7.62
19,6752,パナソニック ホールディングス,2982,3207,7.53
20,3407,旭化成,1559,1674,7.34
21,9020,東日本旅客鉄道,3517,3775,7.34
22,4578,大塚ホールディングス,10685,11405,6.74
23,6758,ソニーグループ,3384,3606,6.56
24,8309,三井住友トラスト・ホールディングス,5307,5643,6.33
25,2503,キリンホールディングス,2574,2736,6.29
26,4543,テルモ,2206,2342,6.21
27,8630,ＳＯＭＰＯホールディングス,5876,6238,6.16
28,6367,ダイキン工業,22240,23605,6.14
29,6971,京セラ,2754,2921,6.06
30,9433,ＫＤＤＩ,2626,2780,5.84
31,9735,セコム,6010,6358,5.79
32,8306,三菱ＵＦＪフィナンシャル・グループ,2870,3030,5.56
33,9984,ソフトバンクグループ,4774,5039,5.55
34,8316,三井住友フィナンシャルグループ,5575,5882,5.51
35,5802,住友電気工業,9976,10525,5.5
36,8035,東京エレクトロン,44250,46100,4.18
37,4188,三菱ケミカルグループ,962,1001,4.04
38,8308,りそなホールディングス,1954,2028,3.84
39,8411,みずほフィナンシャルグループ,6775,6982,3.06
40,9432,日本電信電話,154,156,1.95
41,6326,クボタ,2615,2662,1.82
42,9434,ソフトバンク,223,226,1.52
43,4063,信越化学工業,6773,6845,1.06
44,6201,豊田自動織機,20450,20490,0.2
45,7267,本田技研工業,1341,1343,0.15
46,9983,ファーストリテイリング,74650,74740,0.12
47,8031,三井物産,5836,5804,-0.55
48,4901,富士フイルムホールディングス,3180,3143,-1.16
49,7309,シマノ,17105,16890,-1.26
50,8729,ソニーフィナンシャルグループ,147,145,-1.29
51,5020,ＥＮＥＯＳホールディングス,1338,1314,-1.79
52,4689,ＬＩＮＥヤフー,429,421,-1.82
53,7832,バンダイナムコホールディングス,3932,3860,-1.83
54,8001,伊藤忠商事,1976,1935,-2.05
55,4452,花王,6055,5919,-2.25
56,2502,アサヒグループホールディングス,1643,1602,-2.5
57,8697,日本取引所グループ,1882,1834,-2.58
58,5108,ブリヂストン,3420,3319,-2.95
59,8113,ユニ・チャーム,977,948,-2.95
60,3382,セブン＆アイ・ホールディングス,2021,1944,-3.83
61,6701,日本電気,4327,4140,-4.32
62,4307,野村総合研究所,4965,4735,-4.63
63,6501,日立製作所,5153,4908,-4.75
64,9101,日本郵船,5908,5610,-5.04
65,9104,商船三井,6106,5795,-5.09
66,1928,積水ハウス,3519,3338,-5.14
67,7270,ＳＵＢＡＲＵ,2569,2437,-5.14
68,7936,アシックス,4609,4370,-5.19
69,6857,アドバンテスト,27100,25625,-5.44
70,4507,塩野義製薬,3213,3035,-5.54
71,6503,三菱電機,6088,5747,-5.6
72,9202,ＡＮＡホールディングス,2882,2717,-5.73
73,4502,武田薬品工業,5575,5255,-5.74
74,7201,日産自動車,379,357,-6.01
75,6902,デンソー,1962,1836,-6.47
76,8604,野村ホールディングス,1341,1250,-6.75
77,7751,キヤノン,4490,4171,-7.1
78,7269,スズキ,1894,1753,-7.44
79,8002,丸紅,5885,5374,-8.68
80,1925,大和ハウス工業,4912,4485,-8.69
81,6273,ＳＭＣ,71470,64820,-9.3
82,5401,日本製鉄,600,541,-9.85
83,7741,ＨＯＹＡ,29645,26500,-10.61
84,4519,中外製薬,8844,7899,-10.69
85,4503,アステラス製薬,2570,2295,-10.7
86,7011,三菱重工業,4506,4024,-10.7
87,9021,西日本旅客鉄道,3060,2727,-10.88
88,8267,イオン,1716,1518,-11.48
89,6301,小松製作所,7000,6190,-11.57
90,7974,任天堂,8507,7500,-11.84
91,8802,三菱地所,4553,3966,-12.89
92,6702,富士通,3753,3263,-13.06
93,4568,第一三共,3000,2606,-13.15
94,7203,トヨタ自動車,3390,2942,-13.22
95,8801,三井不動産,1753,1508,-13.98
96,6920,レーザーテック,42120,35650,-15.36
97,4661,オリエンタルランド,2644,2230,-15.62
98,6146,ディスコ,72950,61340,-15.92
99,9022,東海旅客鉄道,4253,3550,-16.53
100,8830,住友不動産,4688,3748,-20.05
101,5803,フジクラ,5529,4295,-22.32
