順位,コード,銘柄名,開始価格(2026/04/20),終了価格(2026/05/19),上昇率(%)
1,6981,村田製作所,4738,6180,30.43
2,6098,リクルートホールディングス,7625,9846,29.13
3,8053,住友商事,6000,7217,20.28
4,7733,オリンパス,1578,1875,18.78
5,6723,ルネサスエレクトロニクス,2972,3509,18.05
6,6954,ファナック,6503,7662,17.82
7,6762,ＴＤＫ,2542,2986,17.45
8,8591,オリックス,5040,5914,17.34
9,6861,キーエンス,64030,75000,17.13
10,8750,第一生命ホールディングス,1459,1654,13.37
11,6752,パナソニック ホールディングス,2982,3353,12.42
12,8058,三菱商事,4910,5519,12.4
13,2802,味の素,4607,5178,12.39
14,9984,ソフトバンクグループ,4774,5361,12.3
15,8015,豊田通商,6284,7056,12.29
16,6178,日本郵政,1866,2093,12.14
17,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4026,4503,11.85
18,7182,ゆうちょ銀行,2710,3021,11.48
19,2914,日本たばこ産業,5790,6453,11.45
20,8766,東京海上ホールディングス,7175,7949,10.79
21,6758,ソニーグループ,3384,3720,9.93
22,8630,ＳＯＭＰＯホールディングス,5876,6435,9.51
23,3407,旭化成,1559,1700,9.04
24,5802,住友電気工業,9976,10840,8.66
25,8306,三菱ＵＦＪフィナンシャル・グループ,2870,3108,8.27
26,9020,東日本旅客鉄道,3517,3788,7.71
27,8309,三井住友トラスト・ホールディングス,5307,5715,7.69
28,6326,クボタ,2615,2806,7.32
29,4188,三菱ケミカルグループ,962,1030,7.11
30,2503,キリンホールディングス,2574,2750,6.84
31,6367,ダイキン工業,22240,23730,6.7
32,8035,東京エレクトロン,44250,47160,6.58
33,8316,三井住友フィナンシャルグループ,5575,5942,6.58
34,8308,りそなホールディングス,1954,2078,6.37
35,9735,セコム,6010,6371,6.01
36,6971,京セラ,2754,2912,5.72
37,9433,ＫＤＤＩ,2626,2764,5.24
38,4578,大塚ホールディングス,10685,11125,4.12
39,4543,テルモ,2206,2294,4.01
40,4063,信越化学工業,6773,7032,3.82
41,9434,ソフトバンク,223,229,2.83
42,8729,ソニーフィナンシャルグループ,147,150,2.04
43,5020,ＥＮＥＯＳホールディングス,1338,1360,1.68
44,8411,みずほフィナンシャルグループ,6775,6886,1.64
45,9432,日本電信電話,154,155,1.17
46,8031,三井物産,5836,5875,0.67
47,7309,シマノ,17105,17175,0.41
48,8001,伊藤忠商事,1976,1980,0.25
49,7267,本田技研工業,1341,1342,0.11
50,6201,豊田自動織機,20450,20460,0.05
51,4452,花王,6055,6051,-0.07
52,4901,富士フイルムホールディングス,3180,3171,-0.28
53,6701,日本電気,4327,4297,-0.69
54,7832,バンダイナムコホールディングス,3932,3901,-0.79
55,6503,三菱電機,6088,6020,-1.12
56,8113,ユニ・チャーム,977,966,-1.17
57,5108,ブリヂストン,3420,3379,-1.2
58,9983,ファーストリテイリング,74650,73650,-1.34
59,4689,ＬＩＮＥヤフー,429,422,-1.52
60,1928,積水ハウス,3519,3402,-3.32
61,4307,野村総合研究所,4965,4800,-3.32
62,8697,日本取引所グループ,1882,1820,-3.35
63,3382,セブン＆アイ・ホールディングス,2021,1947,-3.66
64,2502,アサヒグループホールディングス,1643,1580,-3.8
65,7936,アシックス,4609,4433,-3.82
66,6501,日立製作所,5153,4944,-4.06
67,7269,スズキ,1894,1810,-4.44
68,9104,商船三井,6106,5824,-4.62
69,7270,ＳＵＢＡＲＵ,2569,2450,-4.63
70,9202,ＡＮＡホールディングス,2882,2746,-4.72
71,8604,野村ホールディングス,1341,1276,-4.85
72,9101,日本郵船,5908,5619,-4.89
73,6902,デンソー,1962,1860,-5.25
74,7751,キヤノン,4490,4252,-5.3
75,8002,丸紅,5885,5553,-5.64
76,4502,武田薬品工業,5575,5255,-5.74
77,4507,塩野義製薬,3213,3028,-5.76
78,7201,日産自動車,379,357,-5.88
79,6273,ＳＭＣ,71470,67120,-6.09
80,6857,アドバンテスト,27100,25290,-6.68
81,1925,大和ハウス工業,4912,4544,-7.49
82,5401,日本製鉄,600,550,-8.3
83,7011,三菱重工業,4506,4126,-8.43
84,7741,ＨＯＹＡ,29645,26895,-9.28
85,6301,小松製作所,7000,6346,-9.34
86,4503,アステラス製薬,2570,2317,-9.84
87,9021,西日本旅客鉄道,3060,2756,-9.92
88,4519,中外製薬,8844,7936,-10.27
89,6702,富士通,3753,3332,-11.22
90,7974,任天堂,8507,7519,-11.61
91,8802,三菱地所,4553,4013,-11.86
92,4568,第一三共,3000,2636,-12.13
93,8801,三井不動産,1753,1534,-12.49
94,8267,イオン,1716,1500,-12.53
95,7203,トヨタ自動車,3390,2957,-12.77
96,6920,レーザーテック,42120,36060,-14.39
97,5803,フジクラ,5529,4695,-15.08
98,9022,東海旅客鉄道,4253,3609,-15.14
99,6146,ディスコ,72950,61600,-15.56
100,8830,住友不動産,4688,3955,-15.64
101,4661,オリエンタルランド,2644,2218,-16.08
