順位,コード,銘柄名,開始価格(2026/04/28),終了価格(2026/05/29),上昇率(%)
1,6981,村田製作所,4840,9625,98.86
2,6723,ルネサスエレクトロニクス,2913,4500,54.48
3,6762,ＴＤＫ,2677,4108,53.46
4,9984,ソフトバンクグループ,5268,7491,42.2
5,6098,リクルートホールディングス,7464,10570,41.61
6,6971,京セラ,2689,3483,29.53
7,4188,三菱ケミカルグループ,918,1147,24.9
8,5802,住友電気工業,10190,12585,23.5
9,8053,住友商事,5801,7099,22.38
10,6752,パナソニック ホールディングス,3061,3700,20.88
11,4543,テルモ,2056,2401,16.81
12,8591,オリックス,5350,6237,16.58
13,4307,野村総合研究所,4313,5022,16.44
14,8035,東京エレクトロン,45150,52420,16.1
15,3407,旭化成,1542,1787,15.89
16,7733,オリンパス,1564,1786,14.16
17,7182,ゆうちょ銀行,2696,3069,13.81
18,9202,ＡＮＡホールディングス,2629,2988,13.67
19,6178,日本郵政,1823,2068,13.44
20,6954,ファナック,6961,7892,13.37
21,8750,第一生命ホールディングス,1444,1636,13.3
22,4901,富士フイルムホールディングス,2932,3322,13.28
23,9983,ファーストリテイリング,73170,82330,12.52
24,7267,本田技研工業,1294,1452,12.29
25,9735,セコム,5758,6350,10.28
26,7269,スズキ,1800,1974,9.64
27,4063,信越化学工業,7081,7758,9.56
28,7201,日産自動車,362,397,9.46
29,6326,クボタ,2598,2842,9.41
30,2503,キリンホールディングス,2495,2718,8.96
31,8015,豊田通商,6379,6930,8.64
32,6861,キーエンス,73800,80110,8.55
33,2802,味の素,4767,5152,8.08
34,6503,三菱電機,6078,6558,7.9
35,2914,日本たばこ産業,5779,6167,6.71
36,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4019,4287,6.67
37,6367,ダイキン工業,21865,23285,6.49
38,6758,ソニーグループ,3234,3444,6.49
39,7936,アシックス,4554,4843,6.35
40,9433,ＫＤＤＩ,2580,2738,6.16
41,4578,大塚ホールディングス,11180,11715,4.79
42,8306,三菱ＵＦＪフィナンシャル・グループ,2875,2999,4.31
43,8411,みずほフィナンシャルグループ,6936,7195,3.73
44,5108,ブリヂストン,3322,3443,3.64
45,6902,デンソー,1846,1908,3.33
46,8630,ＳＯＭＰＯホールディングス,5771,5958,3.24
47,8058,三菱商事,4913,5065,3.09
48,8316,三井住友フィナンシャルグループ,5648,5819,3.03
49,8309,三井住友トラスト・ホールディングス,5316,5474,2.97
50,7751,キヤノン,4125,4228,2.5
51,6501,日立製作所,5047,5166,2.36
52,4452,花王,5997,6115,1.97
53,4568,第一三共,2650,2700,1.89
54,8308,りそなホールディングス,2006,2040,1.67
55,8729,ソニーフィナンシャルグループ,138,140,1.3
56,8604,野村ホールディングス,1274,1285,0.86
57,8113,ユニ・チャーム,941,948,0.74
58,5020,ＥＮＥＯＳホールディングス,1300,1306,0.38
59,6201,豊田自動織機,20420,20450,0.15
60,7270,ＳＵＢＡＲＵ,2438,2442,0.14
61,4689,ＬＩＮＥヤフー,417,417,0.0
62,8697,日本取引所グループ,1952,1951,-0.05
63,7309,シマノ,16530,16505,-0.15
64,4519,中外製薬,7940,7892,-0.6
65,4503,アステラス製薬,2306,2283,-1.0
66,9432,日本電信電話,151,150,-1.06
67,9020,東日本旅客鉄道,3451,3412,-1.13
68,8001,伊藤忠商事,1958,1936,-1.17
69,8766,東京海上ホールディングス,7238,7111,-1.75
70,9434,ソフトバンク,219,215,-1.82
71,5401,日本製鉄,578,567,-1.94
72,7832,バンダイナムコホールディングス,3721,3641,-2.15
73,7203,トヨタ自動車,3112,3042,-2.25
74,2502,アサヒグループホールディングス,1560,1524,-2.34
75,1928,積水ハウス,3455,3353,-2.95
76,3382,セブン＆アイ・ホールディングス,1920,1860,-3.15
77,4502,武田薬品工業,5289,5118,-3.23
78,6301,小松製作所,6856,6577,-4.07
79,4507,塩野義製薬,3180,3000,-5.66
80,4661,オリエンタルランド,2434,2296,-5.71
81,9101,日本郵船,5662,5313,-6.16
82,7741,ＨＯＹＡ,29305,27080,-7.59
83,6701,日本電気,4444,4103,-7.67
84,9104,商船三井,5965,5476,-8.2
85,6702,富士通,3693,3368,-8.8
86,8031,三井物産,5820,5290,-9.11
87,6920,レーザーテック,44330,40130,-9.47
88,7974,任天堂,7922,7148,-9.77
89,8802,三菱地所,4496,4056,-9.79
90,6273,ＳＭＣ,77000,69110,-10.25
91,8801,三井不動産,1711,1530,-10.55
92,1925,大和ハウス工業,4876,4334,-11.12
93,8267,イオン,1568,1392,-11.28
94,9021,西日本旅客鉄道,2964,2628,-11.3
95,6857,アドバンテスト,29750,26170,-12.03
96,9022,東海旅客鉄道,4069,3479,-14.5
97,8002,丸紅,6084,5196,-14.6
98,6146,ディスコ,76440,65090,-14.85
99,7011,三菱重工業,4797,3806,-20.66
100,8830,住友不動産,4773,3717,-22.12
101,5803,フジクラ,6281,4771,-24.04
