順位,コード,銘柄名,開始価格(2026/04/21),終了価格(2026/05/22),上昇率(%)
1,6981,村田製作所,4810,7130,48.23
2,6723,ルネサスエレクトロニクス,3079,4044,31.34
3,6762,ＴＤＫ,2576,3370,30.82
4,9984,ソフトバンクグループ,5181,6757,30.42
5,6954,ファナック,6478,8174,26.18
6,8591,オリックス,4947,6230,25.93
7,6861,キーエンス,63170,79370,25.65
8,6098,リクルートホールディングス,7853,9789,24.65
9,7733,オリンパス,1566,1888,20.6
10,7182,ゆうちょ銀行,2600,3104,19.38
11,8053,住友商事,5990,7131,19.05
12,6178,日本郵政,1821,2116,16.2
13,6752,パナソニック ホールディングス,3019,3507,16.16
14,5802,住友電気工業,10300,11820,14.76
15,8750,第一生命ホールディングス,1444,1650,14.26
16,2802,味の素,4721,5300,12.26
17,8411,みずほフィナンシャルグループ,6647,7457,12.19
18,8058,三菱商事,4844,5432,12.14
19,8308,りそなホールディングス,1914,2140,11.81
20,4543,テルモ,2144,2394,11.61
21,6367,ダイキン工業,21630,24065,11.26
22,3407,旭化成,1558,1726,10.75
23,8015,豊田通商,6315,6974,10.44
24,4578,大塚ホールディングス,10580,11650,10.11
25,8316,三井住友フィナンシャルグループ,5471,6006,9.78
26,6971,京セラ,2738,2997,9.44
27,8306,三菱ＵＦＪフィナンシャル・グループ,2830,3091,9.2
28,8035,東京エレクトロン,45780,49830,8.85
29,8309,三井住友トラスト・ホールディングス,5195,5614,8.07
30,9735,セコム,5910,6356,7.55
31,2914,日本たばこ産業,5757,6134,6.55
32,4188,三菱ケミカルグループ,969,1028,6.0
33,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4014,4245,5.75
34,2503,キリンホールディングス,2579,2720,5.49
35,6758,ソニーグループ,3346,3525,5.35
36,8697,日本取引所グループ,1888,1980,4.9
37,6503,三菱電機,6028,6301,4.53
38,4063,信越化学工業,6733,7034,4.47
39,7267,本田技研工業,1342,1401,4.4
40,8766,東京海上ホールディングス,7159,7381,3.1
41,9433,ＫＤＤＩ,2634,2710,2.89
42,4901,富士フイルムホールディングス,3103,3181,2.51
43,9983,ファーストリテイリング,73750,75510,2.39
44,6326,クボタ,2641,2700,2.23
45,9020,東日本旅客鉄道,3544,3606,1.75
46,9434,ソフトバンク,222,223,0.45
47,9432,日本電信電話,152,153,0.2
48,7936,アシックス,4538,4545,0.15
49,6201,豊田自動織機,20475,20480,0.02
50,4452,花王,6010,5996,-0.23
51,8001,伊藤忠商事,1964,1950,-0.71
52,6857,アドバンテスト,27200,26845,-1.31
53,7309,シマノ,17145,16890,-1.49
54,5020,ＥＮＥＯＳホールディングス,1326,1300,-1.92
55,7201,日産自動車,370,362,-2.05
56,8729,ソニーフィナンシャルグループ,146,142,-2.2
57,9202,ＡＮＡホールディングス,2852,2784,-2.4
58,8113,ユニ・チャーム,972,942,-3.03
59,5108,ブリヂストン,3429,3313,-3.38
60,8031,三井物産,5780,5580,-3.46
61,8604,野村ホールディングス,1334,1287,-3.56
62,6501,日立製作所,5189,5002,-3.6
63,8630,ＳＯＭＰＯホールディングス,5888,5676,-3.6
64,2502,アサヒグループホールディングス,1625,1564,-3.78
65,7269,スズキ,1868,1790,-4.23
66,1928,積水ハウス,3484,3336,-4.25
67,7270,ＳＵＢＡＲＵ,2570,2441,-5.04
68,4689,ＬＩＮＥヤフー,432,409,-5.23
69,7832,バンダイナムコホールディングス,3914,3704,-5.37
70,4507,塩野義製薬,3128,2960,-5.39
71,6902,デンソー,1944,1834,-5.63
72,4307,野村総合研究所,4988,4697,-5.83
73,7751,キヤノン,4484,4203,-6.27
74,5401,日本製鉄,593,554,-6.69
75,4502,武田薬品工業,5488,5109,-6.91
76,4519,中外製薬,8694,8090,-6.95
77,9104,商船三井,6088,5650,-7.19
78,3382,セブン＆アイ・ホールディングス,2005,1860,-7.21
79,6701,日本電気,4431,4105,-7.36
80,6273,ＳＭＣ,71630,66270,-7.48
81,9101,日本郵船,5872,5391,-8.19
82,7203,トヨタ自動車,3280,2987,-8.93
83,4568,第一三共,2915,2650,-9.11
84,7741,ＨＯＹＡ,28970,26225,-9.48
85,1925,大和ハウス工業,4907,4416,-10.01
86,4503,アステラス製薬,2525,2270,-10.12
87,6301,小松製作所,6991,6236,-10.8
88,6146,ディスコ,74240,65860,-11.29
89,8802,三菱地所,4577,4058,-11.34
90,9021,西日本旅客鉄道,3044,2693,-11.53
91,8267,イオン,1683,1480,-12.03
92,8002,丸紅,6001,5271,-12.16
93,7011,三菱重工業,4522,3969,-12.23
94,7974,任天堂,8429,7240,-14.11
95,6920,レーザーテック,44520,38130,-14.35
96,6702,富士通,3883,3307,-14.83
97,8801,三井不動産,1749,1480,-15.38
98,9022,東海旅客鉄道,4213,3553,-15.67
99,5803,フジクラ,5889,4850,-17.64
100,4661,オリエンタルランド,2613,2140,-18.1
101,8830,住友不動産,4721,3741,-20.76
